,index,High,Low,Open,Close,Volume
0,2020-04-22,1920.0,1770.0,1845.0,1860.0,2477222.0
1,2020-04-23,2235.0,1765.0,2035.0,1840.0,4014874.0
2,2020-04-24,1915.0,1710.0,1840.0,1830.0,1190234.0
3,2020-04-27,1980.0,1850.0,1895.0,1905.0,1527261.0
4,2020-04-28,1925.0,1860.0,1910.0,1890.0,586965.0
5,2020-04-29,1915.0,1720.0,1910.0,1795.0,1389503.0
6,2020-05-04,1795.0,1690.0,1790.0,1790.0,849353.0
7,2020-05-06,1890.0,1745.0,1865.0,1840.0,2531990.0
8,2020-05-07,1895.0,1750.0,1880.0,1845.0,1404914.0
9,2020-05-08,1835.0,1775.0,1795.0,1780.0,1084748.0
10,2020-05-11,1815.0,1700.0,1790.0,1775.0,979818.0
11,2020-05-12,2010.0,1740.0,1780.0,1915.0,4264949.0
12,2020-05-13,1990.0,1830.0,1890.0,1990.0,2589133.0
13,2020-05-14,2180.0,1700.0,2015.0,1835.0,8445178.0
14,2020-05-15,1945.0,1835.0,1905.0,1905.0,1916106.0
15,2020-05-18,2005.0,1880.0,1900.0,1895.0,1164076.0
16,2020-05-19,1915.0,1800.0,1890.0,1855.0,863254.0
17,2020-05-20,1860.0,1800.0,1855.0,1835.0,662139.0
18,2020-05-21,1855.0,1750.0,1830.0,1775.0,1184657.0
19,2020-05-22,1835.0,1760.0,1775.0,1825.0,767558.0
20,2020-05-25,1955.0,1845.0,1865.0,1930.0,1266056.0
21,2020-05-26,1970.0,1870.0,1950.0,1930.0,876857.0
22,2020-05-27,1960.0,1800.0,1960.0,1930.0,1218549.0
23,2020-05-28,1930.0,1840.0,1930.0,1925.0,745229.0
24,2020-05-29,1930.0,1870.0,1925.0,1930.0,582086.0
25,2020-06-01,1975.0,1910.0,1925.0,1935.0,893692.0
26,2020-06-02,2100.0,1930.0,1945.0,2090.0,3424230.0
27,2020-06-03,2090.0,1985.0,2090.0,2040.0,1572337.0
28,2020-06-04,2085.0,1990.0,2045.0,2040.0,935587.0
29,2020-06-05,2035.0,1985.0,2020.0,1985.0,523625.0
30,2020-06-08,2030.0,1965.0,1985.0,2030.0,820320.0
31,2020-06-09,2080.0,2000.0,2020.0,2050.0,979217.0
32,2020-06-10,2105.0,2020.0,2100.0,2055.0,1168154.0
33,2020-06-11,2450.0,1995.0,2230.0,1995.0,7089013.0
34,2020-06-12,2020.0,1815.0,1960.0,1925.0,2097194.0
35,2020-06-15,1955.0,1760.0,1950.0,1815.0,1404026.0
36,2020-06-16,1905.0,1785.0,1830.0,1895.0,832944.0
37,2020-06-17,2005.0,1800.0,1870.0,1990.0,1942166.0
38,2020-06-18,2025.0,1940.0,1995.0,1995.0,910055.0
39,2020-06-19,2065.0,1950.0,1975.0,2000.0,1573695.0
40,2020-06-22,2005.0,1945.0,2000.0,1990.0,729604.0
41,2020-06-23,1965.0,1840.0,1965.0,1845.0,1502505.0
42,2020-06-24,1850.0,1670.0,1850.0,1725.0,2072998.0
43,2020-06-25,1815.0,1670.0,1705.0,1675.0,2101467.0
44,2020-06-26,1700.0,1580.0,1690.0,1600.0,905791.0
45,2020-06-29,1625.0,1550.0,1595.0,1550.0,967172.0
46,2020-06-30,1655.0,1540.0,1655.0,1605.0,1038952.0
47,2020-07-01,1760.0,1645.0,1750.0,1720.0,1718727.0
48,2020-07-02,1820.0,1715.0,1770.0,1750.0,1351481.0
49,2020-07-03,1770.0,1680.0,1735.0,1700.0,373010.0
50,2020-07-06,1705.0,1630.0,1675.0,1670.0,441135.0
51,2020-07-07,1675.0,1550.0,1675.0,1585.0,896462.0
52,2020-07-08,1610.0,1560.0,1585.0,1570.0,337272.0
53,2020-07-09,1580.0,1535.0,1550.0,1580.0,632435.0
54,2020-07-10,1580.0,1515.0,1580.0,1555.0,392715.0
55,2020-07-13,1615.0,1535.0,1555.0,1540.0,337147.0
56,2020-07-14,1550.0,1430.0,1540.0,1455.0,1046346.0
57,2020-07-15,1650.0,1455.0,1465.0,1600.0,2135268.0
58,2020-07-16,1675.0,1555.0,1600.0,1555.0,1630819.0
59,2020-07-17,1620.0,1510.0,1605.0,1555.0,720482.0
60,2020-07-20,1585.0,1535.0,1570.0,1540.0,448741.0
61,2020-07-21,1570.0,1500.0,1540.0,1540.0,253430.0
62,2020-07-22,1540.0,1470.0,1535.0,1490.0,841798.0
63,2020-07-23,1500.0,1445.0,1485.0,1460.0,544676.0
64,2020-07-24,1525.0,1435.0,1460.0,1500.0,603474.0
65,2020-07-27,1535.0,1465.0,1500.0,1490.0,386942.0
66,2020-07-28,1555.0,1475.0,1510.0,1500.0,600387.0
67,2020-07-29,1510.0,1470.0,1510.0,1475.0,207549.0
68,2020-07-30,1575.0,1450.0,1475.0,1565.0,774775.0
69,2020-07-31,1570.0,1420.0,1565.0,1420.0,640720.0
70,2020-08-03,1510.0,1440.0,1440.0,1480.0,724725.0
71,2020-08-04,1510.0,1445.0,1490.0,1470.0,497786.0
72,2020-08-05,1525.0,1400.0,1475.0,1510.0,688643.0
73,2020-08-06,1540.0,1430.0,1530.0,1445.0,846943.0
74,2020-08-07,1480.0,1415.0,1455.0,1445.0,573209.0
75,2020-08-10,1570.0,1435.0,1460.0,1500.0,1304906.0
76,2020-08-11,1515.0,1385.0,1490.0,1435.0,1941667.0
77,2020-08-12,1430.0,1335.0,1430.0,1375.0,1343451.0
78,2020-08-13,1375.0,1300.0,1365.0,1300.0,1054587.0
79,2020-08-14,1315.0,1250.0,1300.0,1285.0,919376.0
80,2020-08-18,1355.0,1245.0,1305.0,1270.0,1360140.0
81,2020-08-19,1330.0,1270.0,1270.0,1315.0,742578.0
82,2020-08-20,1370.0,1235.0,1305.0,1315.0,1049422.0
83,2020-08-21,1330.0,1245.0,1325.0,1260.0,768468.0
84,2020-08-24,1265.0,1185.0,1260.0,1240.0,958078.0
85,2020-08-25,1340.0,1245.0,1260.0,1330.0,1046383.0
86,2020-08-26,1340.0,1295.0,1335.0,1330.0,507211.0
87,2020-08-27,1355.0,1305.0,1330.0,1320.0,699040.0
88,2020-08-28,1425.0,1310.0,1315.0,1380.0,1147748.0
89,2020-08-31,1780.0,1435.0,1490.0,1515.0,13847232.0
90,2020-09-01,1620.0,1445.0,1535.0,1500.0,5808739.0
91,2020-09-02,1495.0,1430.0,1495.0,1440.0,1165898.0
92,2020-09-03,1470.0,1400.0,1440.0,1410.0,1116673.0
93,2020-09-04,1425.0,1305.0,1370.0,1420.0,1341935.0
94,2020-09-07,1460.0,1380.0,1405.0,1455.0,1490240.0
95,2020-09-08,1480.0,1405.0,1480.0,1435.0,2431101.0
96,2020-09-09,1685.0,1455.0,1675.0,1455.0,10815135.0
97,2020-09-10,1510.0,1400.0,1475.0,1420.0,2275014.0
98,2020-09-11,1455.0,1370.0,1440.0,1455.0,2226853.0
99,2020-09-14,1545.0,1440.0,1450.0,1480.0,2490076.0
100,2020-09-15,1515.0,1410.0,1455.0,1515.0,3283481.0
101,2020-09-16,1555.0,1485.0,1530.0,1550.0,2467889.0
102,2020-09-17,1760.0,1550.0,1560.0,1700.0,13411709.0
103,2020-09-18,1705.0,1590.0,1700.0,1625.0,4185470.0
104,2020-09-21,1940.0,1670.0,1710.0,1900.0,23138926.0
105,2020-09-22,2100.0,1650.0,1890.0,1750.0,20931300.0
106,2020-09-23,1825.0,1560.0,1815.0,1615.0,7573394.0
107,2020-09-24,1585.0,1465.0,1565.0,1485.0,4214398.0
108,2020-09-25,1515.0,1380.0,1480.0,1420.0,4006050.0
109,2020-09-28,1470.0,1410.0,1435.0,1430.0,2809983.0
110,2020-09-29,1480.0,1410.0,1475.0,1435.0,2552564.0
111,2020-10-05,1465.0,1395.0,1435.0,1430.0,2936348.0
112,2020-10-06,1545.0,1415.0,1430.0,1530.0,5772624.0
113,2020-10-07,1595.0,1510.0,1540.0,1570.0,2459809.0
114,2020-10-08,1750.0,1595.0,1600.0,1675.0,7481419.0
115,2020-10-12,1695.0,1610.0,1680.0,1630.0,1802427.0
116,2020-10-13,1645.0,1515.0,1645.0,1565.0,3148037.0
117,2020-10-14,1690.0,1535.0,1580.0,1630.0,4407317.0
118,2020-10-15,1635.0,1540.0,1630.0,1570.0,2544829.0
119,2020-10-16,1585.0,1470.0,1560.0,1540.0,1855638.0
120,2020-10-19,1560.0,1485.0,1540.0,1485.0,1245751.0
121,2020-10-20,1520.0,1440.0,1465.0,1495.0,1095626.0
122,2020-10-21,1520.0,1460.0,1490.0,1465.0,1640317.0
123,2020-10-22,1470.0,1415.0,1470.0,1420.0,1159080.0
124,2020-10-23,1435.0,1375.0,1425.0,1400.0,1623858.0
125,2020-10-26,1390.0,1330.0,1380.0,1360.0,1574162.0
126,2020-10-27,1385.0,1320.0,1350.0,1340.0,1356534.0
127,2020-10-28,1370.0,1335.0,1340.0,1365.0,543436.0
128,2020-10-29,1450.0,1310.0,1340.0,1425.0,2144381.0
129,2020-10-30,1490.0,1415.0,1425.0,1425.0,1195055.0
130,2020-11-02,1450.0,1395.0,1415.0,1435.0,537547.0
131,2020-11-03,1455.0,1405.0,1435.0,1410.0,714506.0
132,2020-11-04,1415.0,1375.0,1410.0,1380.0,676214.0
133,2020-11-05,1440.0,1365.0,1380.0,1395.0,1022080.0
134,2020-11-06,1435.0,1375.0,1405.0,1410.0,1064575.0
135,2020-11-09,1490.0,1365.0,1395.0,1460.0,3284599.0
136,2020-11-10,1465.0,1420.0,1440.0,1440.0,1059951.0
137,2020-11-11,1455.0,1385.0,1405.0,1410.0,2310315.0
