,index,High,Low,Open,Close,Volume
0,2020-05-04,86500.0,68000.0,69500.0,72700.0,10133.0
1,2020-05-06,75100.0,70400.0,73200.0,70700.0,1537.0
2,2020-05-07,71400.0,70400.0,70600.0,71400.0,511.0
3,2020-05-08,72700.0,70200.0,70200.0,71600.0,619.0
4,2020-05-11,80000.0,71500.0,71600.0,77500.0,1348.0
5,2020-05-12,78400.0,76900.0,77500.0,77800.0,385.0
6,2020-05-13,79900.0,73500.0,77800.0,79500.0,281.0
7,2020-05-14,81700.0,75600.0,78500.0,78800.0,438.0
8,2020-05-15,78600.0,76200.0,78000.0,77300.0,185.0
9,2020-05-18,80000.0,77300.0,77300.0,79500.0,323.0
10,2020-05-19,80200.0,78600.0,79500.0,78600.0,330.0
11,2020-05-20,79800.0,76500.0,76500.0,78300.0,179.0
12,2020-05-21,81800.0,78200.0,79600.0,79600.0,143.0
13,2020-05-22,80200.0,78300.0,80200.0,78300.0,128.0
14,2020-05-25,78300.0,77400.0,78000.0,77800.0,54.0
15,2020-05-26,78000.0,77000.0,77000.0,77900.0,125.0
16,2020-05-27,78900.0,77000.0,77100.0,77600.0,124.0
17,2020-05-28,77700.0,75700.0,77600.0,75700.0,61.0
18,2020-05-29,77700.0,74100.0,75000.0,74400.0,128.0
19,2020-06-01,75700.0,74400.0,74400.0,75600.0,87.0
20,2020-06-02,77000.0,75000.0,77000.0,76800.0,184.0
21,2020-06-03,76300.0,70600.0,75900.0,71100.0,7150.0
22,2020-06-04,72300.0,71300.0,72300.0,71800.0,1286.0
23,2020-06-05,72000.0,70900.0,72000.0,71400.0,1750.0
24,2020-06-08,71500.0,70600.0,71300.0,71500.0,853.0
25,2020-06-09,71700.0,71100.0,71700.0,71600.0,393.0
26,2020-06-10,71600.0,70600.0,71400.0,71400.0,475.0
27,2020-06-11,72500.0,69700.0,71400.0,70700.0,577.0
28,2020-06-12,71700.0,66300.0,71700.0,69700.0,675.0
29,2020-06-15,70400.0,67500.0,69500.0,68900.0,767.0
30,2020-06-16,69800.0,68700.0,68800.0,68900.0,370.0
31,2020-06-17,71400.0,69300.0,71100.0,69700.0,686.0
32,2020-06-18,72000.0,68800.0,70000.0,71500.0,480.0
33,2020-06-19,71900.0,70000.0,70600.0,70300.0,582.0
34,2020-06-22,70500.0,67800.0,70500.0,68600.0,1035.0
35,2020-06-23,69500.0,68000.0,68600.0,68300.0,132.0
36,2020-06-24,69500.0,68200.0,68300.0,69000.0,147.0
37,2020-06-25,68900.0,68000.0,68200.0,68900.0,98.0
38,2020-06-26,69500.0,68900.0,68900.0,68900.0,125.0
39,2020-06-29,68900.0,67800.0,67800.0,68900.0,55.0
40,2020-06-30,69500.0,68100.0,68900.0,68900.0,130.0
41,2020-07-01,69400.0,68000.0,68900.0,68300.0,290.0
42,2020-07-02,68800.0,67500.0,68600.0,68400.0,240.0
43,2020-07-03,69500.0,68400.0,69500.0,69300.0,70.0
44,2020-07-06,69500.0,68100.0,69500.0,68700.0,235.0
45,2020-07-07,69100.0,68100.0,68400.0,68300.0,238.0
46,2020-07-08,68900.0,67700.0,68900.0,68100.0,87.0
47,2020-07-09,69000.0,67800.0,69000.0,68400.0,62.0
48,2020-07-10,69500.0,67400.0,69500.0,67600.0,423.0
49,2020-07-13,68400.0,67300.0,67600.0,67700.0,393.0
50,2020-07-14,68200.0,67500.0,67500.0,68200.0,43.0
51,2020-07-15,68900.0,67800.0,68900.0,68000.0,113.0
52,2020-07-16,69000.0,67900.0,69000.0,68100.0,76.0
53,2020-07-17,68400.0,67700.0,67700.0,68200.0,79.0
