,index,High,Low,Open,Close,Volume
0,2020-05-08,1770.0,1680.0,1770.0,1715.0,295100.0
1,2020-05-11,2225.0,1760.0,1775.0,2220.0,6139941.0
2,2020-05-12,2160.0,1980.0,2130.0,2070.0,3811244.0
3,2020-05-13,2115.0,1975.0,2030.0,2095.0,2103444.0
4,2020-05-14,2105.0,2015.0,2075.0,2035.0,774105.0
5,2020-05-15,2060.0,1935.0,2035.0,1960.0,807394.0
6,2020-05-18,2065.0,1910.0,2000.0,1995.0,1062564.0
7,2020-05-19,2020.0,1920.0,2000.0,1950.0,397212.0
8,2020-05-20,1970.0,1910.0,1915.0,1935.0,254145.0
9,2020-05-21,1995.0,1920.0,1955.0,1970.0,299713.0
10,2020-05-22,1995.0,1920.0,1965.0,1955.0,217039.0
11,2020-05-25,2045.0,1945.0,1970.0,2040.0,643829.0
12,2020-05-26,2110.0,2010.0,2050.0,2020.0,1097285.0
13,2020-05-27,2050.0,1980.0,2050.0,1995.0,327446.0
14,2020-05-28,2005.0,1900.0,2005.0,1970.0,417341.0
15,2020-05-29,1970.0,1920.0,1970.0,1950.0,121690.0
16,2020-06-01,2020.0,1950.0,1950.0,1985.0,211896.0
17,2020-06-02,2015.0,1905.0,2015.0,1970.0,162134.0
18,2020-06-03,1995.0,1915.0,1995.0,1950.0,222293.0
19,2020-06-04,1990.0,1925.0,1935.0,1935.0,118605.0
20,2020-06-05,1950.0,1900.0,1950.0,1910.0,188518.0
21,2020-06-08,1935.0,1825.0,1930.0,1890.0,265626.0
22,2020-06-09,1910.0,1855.0,1895.0,1885.0,147130.0
23,2020-06-10,1910.0,1830.0,1885.0,1865.0,110387.0
24,2020-06-11,1890.0,1845.0,1865.0,1860.0,137154.0
25,2020-06-12,1820.0,1710.0,1810.0,1800.0,251925.0
26,2020-06-15,1865.0,1720.0,1805.0,1745.0,214086.0
27,2020-06-16,1815.0,1745.0,1745.0,1795.0,120522.0
28,2020-06-17,1800.0,1710.0,1760.0,1765.0,62992.0
29,2020-06-18,1790.0,1710.0,1760.0,1745.0,89079.0
30,2020-06-19,1825.0,1765.0,1775.0,1815.0,104761.0
31,2020-06-22,1920.0,1760.0,1800.0,1820.0,88934.0
32,2020-06-23,1835.0,1780.0,1835.0,1815.0,68706.0
33,2020-06-24,1825.0,1785.0,1815.0,1815.0,112775.0
34,2020-06-25,1815.0,1755.0,1815.0,1800.0,50262.0
35,2020-06-26,1820.0,1765.0,1780.0,1765.0,101399.0
36,2020-06-29,1795.0,1710.0,1795.0,1730.0,69140.0
37,2020-06-30,1790.0,1695.0,1790.0,1705.0,100034.0
38,2020-07-01,1775.0,1600.0,1775.0,1645.0,383253.0
39,2020-07-02,1665.0,1600.0,1665.0,1650.0,117816.0
40,2020-07-03,1665.0,1635.0,1640.0,1665.0,47530.0
41,2020-07-06,1785.0,1665.0,1665.0,1780.0,245217.0
42,2020-07-07,1790.0,1705.0,1790.0,1760.0,148489.0
43,2020-07-08,1760.0,1710.0,1740.0,1730.0,65364.0
44,2020-07-09,1910.0,1740.0,1740.0,1845.0,1437394.0
45,2020-07-10,1895.0,1775.0,1845.0,1865.0,351271.0
46,2020-07-13,2210.0,1895.0,1940.0,2185.0,13629787.0
47,2020-07-14,2180.0,2060.0,2180.0,2125.0,2640281.0
48,2020-07-15,2140.0,2025.0,2125.0,2025.0,1479478.0
49,2020-07-16,2025.0,1930.0,2015.0,1965.0,946974.0
50,2020-07-17,2065.0,1975.0,1995.0,2010.0,749301.0
51,2020-07-20,2130.0,1975.0,2020.0,2070.0,1164550.0
52,2020-07-21,2125.0,2030.0,2110.0,2035.0,706350.0
53,2020-07-22,2075.0,2005.0,2075.0,2030.0,300218.0
54,2020-07-23,2030.0,1945.0,2000.0,1955.0,561602.0
55,2020-07-24,1990.0,1885.0,1955.0,1895.0,499558.0
56,2020-07-27,1965.0,1900.0,1900.0,1925.0,291159.0
57,2020-07-28,1955.0,1900.0,1955.0,1950.0,256757.0
58,2020-07-29,1950.0,1905.0,1950.0,1910.0,198537.0
59,2020-07-30,1940.0,1900.0,1920.0,1910.0,110594.0
60,2020-07-31,1935.0,1900.0,1910.0,1910.0,142587.0
61,2020-08-03,1930.0,1880.0,1910.0,1900.0,171270.0
62,2020-08-04,1945.0,1885.0,1885.0,1945.0,197169.0
63,2020-08-05,1980.0,1935.0,1970.0,1950.0,254417.0
64,2020-08-06,1965.0,1920.0,1945.0,1955.0,222808.0
65,2020-08-07,1970.0,1925.0,1940.0,1965.0,285352.0
66,2020-08-10,2110.0,1975.0,2020.0,2070.0,1427327.0
67,2020-08-11,2130.0,2025.0,2130.0,2070.0,702463.0
68,2020-08-12,2095.0,2000.0,2095.0,2005.0,369466.0
69,2020-08-13,2230.0,1975.0,2035.0,2095.0,2635383.0
70,2020-08-14,2640.0,2020.0,2050.0,2295.0,12015357.0
71,2020-08-18,2980.0,2365.0,2410.0,2980.0,21325482.0
72,2020-08-19,3670.0,3025.0,3245.0,3130.0,42184694.0
73,2020-08-20,3745.0,2985.0,3190.0,3135.0,37489114.0
74,2020-08-21,3060.0,2635.0,3060.0,2825.0,2484126.0
75,2020-08-24,3245.0,2980.0,3005.0,3160.0,2191901.0
76,2020-08-25,3490.0,3090.0,3090.0,3465.0,1847685.0
77,2020-08-26,3940.0,3250.0,3575.0,3470.0,13296478.0
78,2020-08-27,4180.0,3535.0,3665.0,3970.0,23639883.0
79,2020-08-28,4230.0,3400.0,3770.0,3740.0,13205625.0
80,2020-08-31,3800.0,3500.0,3705.0,3505.0,2529151.0
81,2020-09-01,3455.0,3255.0,3455.0,3370.0,1911204.0
82,2020-09-02,3560.0,3320.0,3440.0,3515.0,1630893.0
83,2020-09-03,3530.0,3350.0,3420.0,3515.0,918800.0
84,2020-09-04,3495.0,3330.0,3345.0,3400.0,999740.0
