,index,High,Low,Open,Close,Volume
0,2020-04-22,2660.0,2500.0,2660.0,2525.0,256242.0
1,2020-04-23,2630.0,2520.0,2620.0,2555.0,398339.0
2,2020-04-24,2600.0,2325.0,2600.0,2390.0,749835.0
3,2020-04-27,2500.0,2385.0,2395.0,2445.0,252074.0
4,2020-04-28,2490.0,2330.0,2450.0,2395.0,276571.0
5,2020-04-29,2445.0,2350.0,2375.0,2400.0,234308.0
6,2020-05-04,2420.0,2250.0,2400.0,2405.0,242695.0
7,2020-05-06,2535.0,2405.0,2410.0,2460.0,546427.0
8,2020-05-07,2510.0,2415.0,2510.0,2475.0,284639.0
9,2020-05-08,2530.0,2450.0,2510.0,2510.0,314212.0
10,2020-05-11,2620.0,2500.0,2535.0,2525.0,596392.0
11,2020-05-12,2590.0,2500.0,2500.0,2550.0,365636.0
12,2020-05-13,2555.0,2340.0,2505.0,2450.0,901555.0
13,2020-05-14,2445.0,2285.0,2445.0,2295.0,670717.0
14,2020-05-15,2340.0,2190.0,2295.0,2310.0,331722.0
15,2020-05-18,2310.0,2185.0,2310.0,2255.0,366417.0
16,2020-05-19,2310.0,2150.0,2255.0,2150.0,443894.0
17,2020-05-20,2185.0,2115.0,2150.0,2160.0,274565.0
18,2020-05-21,2355.0,2160.0,2215.0,2245.0,417708.0
19,2020-05-22,2270.0,2160.0,2250.0,2210.0,177127.0
20,2020-05-25,2250.0,2145.0,2245.0,2235.0,181354.0
21,2020-05-26,2340.0,2190.0,2235.0,2275.0,295737.0
22,2020-05-27,2615.0,2355.0,2380.0,2390.0,1479139.0
23,2020-05-28,2435.0,2195.0,2435.0,2330.0,321688.0
24,2020-05-29,2370.0,2205.0,2370.0,2260.0,276842.0
25,2020-06-01,2290.0,2205.0,2260.0,2280.0,213990.0
26,2020-06-02,2315.0,2250.0,2280.0,2290.0,153181.0
27,2020-06-03,2410.0,2270.0,2320.0,2330.0,457304.0
28,2020-06-04,2385.0,2295.0,2385.0,2325.0,259433.0
29,2020-06-05,2360.0,2285.0,2355.0,2290.0,242018.0
30,2020-06-08,2400.0,2295.0,2295.0,2360.0,440372.0
31,2020-06-09,2425.0,2300.0,2360.0,2350.0,340277.0
32,2020-06-10,2385.0,2285.0,2355.0,2315.0,220394.0
33,2020-06-11,2345.0,2280.0,2340.0,2300.0,282541.0
34,2020-06-12,2410.0,2105.0,2105.0,2410.0,872958.0
35,2020-06-15,2580.0,2245.0,2430.0,2245.0,1109566.0
36,2020-06-16,2370.0,2270.0,2270.0,2340.0,310743.0
37,2020-06-17,2350.0,2200.0,2320.0,2240.0,603618.0
38,2020-06-18,2295.0,2170.0,2290.0,2235.0,385145.0
39,2020-06-19,2255.0,2155.0,2250.0,2205.0,404153.0
40,2020-06-22,2300.0,2150.0,2245.0,2175.0,462928.0
41,2020-06-23,2175.0,2050.0,2170.0,2105.0,509751.0
42,2020-06-24,2135.0,1995.0,2135.0,2025.0,538186.0
43,2020-06-25,2110.0,1965.0,1990.0,2030.0,281172.0
44,2020-06-26,2195.0,2050.0,2080.0,2170.0,655013.0
45,2020-06-29,2350.0,2180.0,2180.0,2270.0,762352.0
46,2020-06-30,2335.0,2100.0,2330.0,2135.0,831800.0
47,2020-07-01,2175.0,2080.0,2170.0,2105.0,273101.0
48,2020-07-02,2155.0,2050.0,2130.0,2130.0,182333.0
49,2020-07-03,2175.0,2100.0,2150.0,2120.0,144885.0
50,2020-07-06,2150.0,2040.0,2120.0,2080.0,313572.0
51,2020-07-07,2100.0,2000.0,2095.0,2010.0,263066.0
52,2020-07-08,2110.0,2010.0,2010.0,2090.0,260858.0
53,2020-07-09,2090.0,2015.0,2090.0,2050.0,188526.0
54,2020-07-10,2090.0,2010.0,2035.0,2080.0,245901.0
55,2020-07-13,2250.0,2070.0,2080.0,2170.0,722770.0
56,2020-07-14,2305.0,2105.0,2200.0,2175.0,1454387.0
57,2020-07-15,2215.0,2145.0,2210.0,2210.0,472338.0
58,2020-07-16,2270.0,2170.0,2225.0,2190.0,350722.0
59,2020-07-17,2240.0,2135.0,2190.0,2200.0,486947.0
60,2020-07-20,2215.0,2095.0,2200.0,2120.0,482905.0
61,2020-07-21,2145.0,2025.0,2145.0,2120.0,266963.0
62,2020-07-22,2120.0,2055.0,2120.0,2090.0,283827.0
63,2020-07-23,2080.0,2010.0,2070.0,2030.0,451923.0
64,2020-07-24,2065.0,2005.0,2030.0,2030.0,322457.0
65,2020-07-27,2060.0,1985.0,2030.0,2000.0,280976.0
66,2020-07-28,2115.0,1980.0,1990.0,2090.0,413683.0
67,2020-07-29,2125.0,2040.0,2125.0,2100.0,271169.0
68,2020-07-30,2305.0,2065.0,2130.0,2255.0,1817755.0
69,2020-07-31,2285.0,2180.0,2220.0,2225.0,644407.0
70,2020-08-03,2335.0,2230.0,2230.0,2320.0,846393.0
71,2020-08-04,2670.0,2320.0,2360.0,2570.0,3959499.0
72,2020-08-05,2560.0,2285.0,2560.0,2345.0,2704274.0
73,2020-08-06,2545.0,2335.0,2435.0,2520.0,1616180.0
74,2020-08-07,2565.0,2400.0,2525.0,2520.0,1200819.0
75,2020-08-10,2575.0,2435.0,2575.0,2470.0,973902.0
76,2020-08-11,2560.0,2470.0,2520.0,2480.0,781260.0
77,2020-08-12,3195.0,2480.0,2480.0,2835.0,11101130.0
78,2020-08-13,3255.0,2820.0,3120.0,2940.0,6016896.0
79,2020-08-14,2970.0,2715.0,2935.0,2850.0,2613351.0
80,2020-08-18,2840.0,2560.0,2840.0,2585.0,1457252.0
81,2020-08-19,2790.0,2545.0,2600.0,2680.0,1476490.0
82,2020-08-20,2770.0,2560.0,2725.0,2595.0,1295424.0
83,2020-08-21,2785.0,2550.0,2595.0,2685.0,2870764.0
84,2020-08-24,2745.0,2565.0,2695.0,2680.0,2134275.0
85,2020-08-25,2705.0,2585.0,2635.0,2635.0,1298663.0
86,2020-08-26,2710.0,2560.0,2635.0,2600.0,1738555.0
87,2020-08-27,2635.0,2390.0,2600.0,2415.0,2001865.0
88,2020-08-28,2620.0,2460.0,2485.0,2570.0,1980620.0
89,2020-08-31,2655.0,2495.0,2570.0,2550.0,1412934.0
90,2020-09-01,2710.0,2550.0,2650.0,2650.0,1758398.0
91,2020-09-02,2680.0,2560.0,2655.0,2610.0,983469.0
92,2020-09-03,2650.0,2585.0,2635.0,2600.0,942790.0
93,2020-09-04,2710.0,2330.0,2500.0,2710.0,2181733.0
94,2020-09-07,2775.0,2530.0,2775.0,2585.0,2208821.0
95,2020-09-08,3310.0,2585.0,2705.0,2945.0,27242051.0
96,2020-09-09,3090.0,2710.0,3000.0,2750.0,16758958.0
97,2020-09-10,2760.0,2600.0,2670.0,2685.0,3504204.0
98,2020-09-11,2860.0,2650.0,2680.0,2755.0,3635396.0
99,2020-09-14,2820.0,2690.0,2810.0,2720.0,1518881.0
100,2020-09-15,2945.0,2600.0,2745.0,2805.0,7741503.0
101,2020-09-16,2840.0,2690.0,2830.0,2725.0,1776658.0
102,2020-09-17,2740.0,2640.0,2725.0,2640.0,1230526.0
103,2020-09-18,2690.0,2580.0,2625.0,2605.0,1080779.0
104,2020-09-21,2625.0,2475.0,2575.0,2505.0,1470986.0
105,2020-09-22,2420.0,1985.0,2420.0,2275.0,5806774.0
106,2020-09-23,2355.0,2125.0,2340.0,2215.0,1044587.0
107,2020-09-24,2185.0,2015.0,2150.0,2030.0,1224176.0
108,2020-09-25,2115.0,2025.0,2040.0,2025.0,532179.0
109,2020-09-28,2380.0,2030.0,2030.0,2305.0,1900731.0
110,2020-09-29,2510.0,2305.0,2305.0,2430.0,1960992.0
111,2020-10-05,2630.0,2425.0,2425.0,2570.0,1448541.0
112,2020-10-06,2645.0,2495.0,2570.0,2540.0,1162390.0
113,2020-10-07,2605.0,2475.0,2480.0,2575.0,899576.0
114,2020-10-08,2690.0,2595.0,2600.0,2665.0,1262531.0
115,2020-10-12,2760.0,2640.0,2640.0,2695.0,960114.0
116,2020-10-13,2720.0,2605.0,2720.0,2705.0,1213199.0
117,2020-10-14,2705.0,2435.0,2705.0,2605.0,2075193.0
118,2020-10-15,2580.0,2425.0,2540.0,2460.0,1645937.0
119,2020-10-16,2590.0,2415.0,2460.0,2440.0,866219.0
120,2020-10-19,2530.0,2405.0,2530.0,2460.0,591245.0
121,2020-10-20,2515.0,2240.0,2455.0,2495.0,1212753.0
122,2020-10-21,2570.0,2470.0,2510.0,2540.0,847319.0
123,2020-10-22,2550.0,2475.0,2540.0,2510.0,599103.0
124,2020-10-23,2530.0,2410.0,2500.0,2500.0,527425.0
125,2020-10-26,2510.0,2405.0,2500.0,2440.0,525372.0
126,2020-10-27,2470.0,2360.0,2360.0,2445.0,748439.0
127,2020-10-28,2520.0,2425.0,2480.0,2450.0,730346.0
128,2020-10-29,2500.0,2335.0,2425.0,2450.0,487084.0
129,2020-10-30,2490.0,2250.0,2490.0,2400.0,532141.0
130,2020-11-02,2435.0,2330.0,2390.0,2430.0,442850.0
131,2020-11-03,2480.0,2355.0,2480.0,2445.0,533204.0
132,2020-11-04,2480.0,2375.0,2480.0,2415.0,407946.0
133,2020-11-05,2645.0,2360.0,2405.0,2430.0,2503986.0
134,2020-11-06,2425.0,2345.0,2380.0,2370.0,678082.0
135,2020-11-09,2440.0,2335.0,2370.0,2380.0,731683.0
136,2020-11-10,2410.0,2245.0,2410.0,2335.0,979645.0
137,2020-11-11,2300.0,2185.0,2300.0,2210.0,1048952.0
