,index,High,Low,Open,Close,Volume
0,2020-04-22,5440.0,5100.0,5380.0,5440.0,15059.0
1,2020-04-23,5490.0,5350.0,5430.0,5430.0,10992.0
2,2020-04-24,5440.0,5310.0,5400.0,5440.0,19308.0
3,2020-04-27,5480.0,5120.0,5440.0,5470.0,18331.0
4,2020-04-28,5620.0,5200.0,5500.0,5590.0,30965.0
5,2020-04-29,5600.0,5480.0,5510.0,5480.0,25211.0
6,2020-05-04,6180.0,5580.0,5620.0,5790.0,706189.0
7,2020-05-06,5880.0,5680.0,5790.0,5810.0,60584.0
8,2020-05-07,5850.0,5730.0,5850.0,5780.0,33259.0
9,2020-05-08,5860.0,5770.0,5790.0,5840.0,27125.0
10,2020-05-11,5910.0,5770.0,5800.0,5860.0,33021.0
11,2020-05-12,5850.0,5710.0,5780.0,5710.0,34593.0
12,2020-05-13,5750.0,5640.0,5690.0,5670.0,18354.0
13,2020-05-14,5730.0,5620.0,5630.0,5690.0,17396.0
14,2020-05-15,5800.0,5600.0,5690.0,5780.0,24940.0
15,2020-05-18,5810.0,5710.0,5730.0,5800.0,31107.0
16,2020-05-19,5840.0,5720.0,5800.0,5790.0,27851.0
17,2020-05-20,5840.0,5720.0,5790.0,5820.0,24349.0
18,2020-05-21,5820.0,5710.0,5820.0,5820.0,29424.0
19,2020-05-22,5820.0,5600.0,5820.0,5700.0,28172.0
20,2020-05-25,5700.0,5550.0,5700.0,5630.0,15991.0
21,2020-05-26,5630.0,5460.0,5630.0,5520.0,50031.0
22,2020-05-27,5550.0,5150.0,5530.0,5340.0,37031.0
23,2020-05-28,6220.0,5340.0,5400.0,5500.0,525357.0
24,2020-05-29,5450.0,5290.0,5370.0,5320.0,39129.0
25,2020-06-01,5410.0,5270.0,5320.0,5340.0,38788.0
26,2020-06-02,6940.0,5310.0,5340.0,6030.0,2179580.0
27,2020-06-03,6050.0,5900.0,5970.0,5920.0,288463.0
28,2020-06-04,5980.0,5890.0,5940.0,5980.0,97936.0
29,2020-06-05,6000.0,5910.0,5920.0,5980.0,86658.0
30,2020-06-08,6050.0,5890.0,5980.0,5930.0,80883.0
31,2020-06-09,6070.0,5920.0,5940.0,6030.0,134700.0
32,2020-06-10,6030.0,5900.0,6030.0,5960.0,51578.0
33,2020-06-11,6040.0,5870.0,5960.0,5890.0,89682.0
34,2020-06-12,5790.0,5400.0,5790.0,5530.0,220126.0
35,2020-06-15,5530.0,4990.0,5530.0,5000.0,101781.0
36,2020-06-16,5200.0,5030.0,5030.0,5180.0,171903.0
37,2020-06-17,5250.0,5070.0,5070.0,5210.0,61607.0
38,2020-06-18,5350.0,5180.0,5210.0,5200.0,33437.0
39,2020-06-19,5340.0,5180.0,5210.0,5250.0,49012.0
40,2020-06-22,5300.0,5150.0,5250.0,5220.0,26806.0
41,2020-06-23,5300.0,5150.0,5290.0,5250.0,21483.0
42,2020-06-24,5260.0,5110.0,5250.0,5190.0,31936.0
43,2020-06-25,5150.0,4820.0,5120.0,5020.0,45317.0
44,2020-06-26,5050.0,4930.0,5050.0,5000.0,26582.0
45,2020-06-29,4990.0,4820.0,4930.0,4870.0,33330.0
46,2020-06-30,4980.0,4820.0,4860.0,4930.0,22151.0
47,2020-07-01,5100.0,4950.0,4950.0,4980.0,24191.0
48,2020-07-02,5090.0,4955.0,4955.0,5020.0,21146.0
49,2020-07-03,5090.0,4995.0,4995.0,5090.0,19982.0
50,2020-07-06,5180.0,5050.0,5090.0,5140.0,22550.0
51,2020-07-07,5290.0,5070.0,5290.0,5140.0,19508.0
52,2020-07-08,5620.0,5050.0,5150.0,5360.0,202963.0
53,2020-07-09,5460.0,5240.0,5370.0,5320.0,53074.0
54,2020-07-10,5590.0,5300.0,5500.0,5330.0,120498.0
55,2020-07-13,5410.0,5190.0,5340.0,5320.0,46769.0
56,2020-07-14,5530.0,5260.0,5280.0,5400.0,95593.0
57,2020-07-15,5450.0,5320.0,5450.0,5320.0,31159.0
58,2020-07-16,5570.0,5250.0,5330.0,5550.0,158528.0
59,2020-07-17,5530.0,5390.0,5480.0,5410.0,46793.0
60,2020-07-20,5860.0,5390.0,5410.0,5750.0,275826.0
61,2020-07-21,5800.0,5600.0,5800.0,5700.0,55716.0
62,2020-07-22,5700.0,5510.0,5700.0,5520.0,47669.0
63,2020-07-23,5520.0,5200.0,5520.0,5200.0,99333.0
64,2020-07-24,5300.0,5110.0,5270.0,5180.0,67277.0
65,2020-07-27,5300.0,5170.0,5180.0,5260.0,25046.0
66,2020-07-28,5470.0,5180.0,5350.0,5240.0,138228.0
67,2020-07-29,5260.0,5150.0,5240.0,5200.0,34817.0
68,2020-07-30,5270.0,5090.0,5260.0,5150.0,37304.0
69,2020-07-31,5240.0,5100.0,5150.0,5150.0,27817.0
70,2020-08-03,5230.0,5060.0,5130.0,5110.0,31536.0
71,2020-08-04,5160.0,5090.0,5100.0,5150.0,15508.0
72,2020-08-05,5170.0,5090.0,5120.0,5100.0,25316.0
73,2020-08-06,5180.0,5070.0,5080.0,5100.0,17142.0
74,2020-08-07,5180.0,5090.0,5100.0,5090.0,21732.0
75,2020-08-10,5140.0,5070.0,5100.0,5140.0,14838.0
76,2020-08-11,5180.0,5100.0,5180.0,5140.0,27012.0
77,2020-08-12,5140.0,5070.0,5140.0,5080.0,18926.0
78,2020-08-13,5130.0,5070.0,5130.0,5110.0,21110.0
79,2020-08-14,5140.0,4995.0,5110.0,5050.0,49667.0
80,2020-08-18,5110.0,4960.0,5070.0,5000.0,61319.0
81,2020-08-19,5080.0,4980.0,5080.0,4985.0,22427.0
82,2020-08-20,5020.0,4900.0,4950.0,5000.0,48377.0
83,2020-08-21,5050.0,4975.0,5030.0,5050.0,23567.0
84,2020-08-24,5060.0,4970.0,5060.0,5030.0,30334.0
85,2020-08-25,5070.0,4975.0,5030.0,5000.0,45520.0
86,2020-08-26,5050.0,4950.0,5000.0,5000.0,59461.0
87,2020-08-27,5020.0,4960.0,5020.0,4990.0,19781.0
88,2020-08-28,5060.0,4945.0,4955.0,5060.0,90354.0
89,2020-08-31,5170.0,5040.0,5060.0,5110.0,512335.0
90,2020-09-01,5130.0,5050.0,5130.0,5110.0,29403.0
91,2020-09-02,5190.0,5090.0,5090.0,5150.0,46594.0
92,2020-09-03,5180.0,5090.0,5180.0,5090.0,28885.0
93,2020-09-04,5070.0,4975.0,5000.0,5030.0,31265.0
94,2020-09-07,5110.0,5000.0,5010.0,5050.0,50803.0
95,2020-09-08,5100.0,5000.0,5000.0,5020.0,49175.0
96,2020-09-09,5050.0,4950.0,5050.0,5020.0,54842.0
97,2020-09-10,5090.0,5000.0,5000.0,5030.0,60481.0
98,2020-09-11,5040.0,4975.0,5030.0,4975.0,43573.0
99,2020-09-14,5020.0,4975.0,4985.0,4995.0,37788.0
100,2020-09-15,5040.0,4980.0,5000.0,4990.0,24727.0
101,2020-09-16,5050.0,4980.0,4990.0,4995.0,42411.0
102,2020-09-17,4995.0,4950.0,4995.0,4960.0,25491.0
103,2020-09-18,4985.0,4925.0,4960.0,4940.0,23726.0
104,2020-09-21,4970.0,4875.0,4970.0,4910.0,26339.0
105,2020-09-22,4910.0,4695.0,4910.0,4830.0,54098.0
106,2020-09-23,4950.0,4620.0,4950.0,4750.0,33091.0
107,2020-09-24,4790.0,4550.0,4750.0,4610.0,32928.0
108,2020-09-25,4715.0,4640.0,4700.0,4670.0,9261.0
109,2020-09-28,4730.0,4670.0,4700.0,4725.0,12488.0
110,2020-09-29,4820.0,4740.0,4740.0,4800.0,11385.0
111,2020-10-05,4850.0,4750.0,4850.0,4800.0,8970.0
112,2020-10-06,4845.0,4755.0,4800.0,4800.0,15915.0
113,2020-10-07,4830.0,4690.0,4830.0,4710.0,55014.0
114,2020-10-08,4765.0,4675.0,4760.0,4765.0,21329.0
115,2020-10-12,5250.0,4715.0,4780.0,4890.0,220773.0
116,2020-10-13,4920.0,4810.0,4890.0,4895.0,52091.0
117,2020-10-14,4895.0,4790.0,4890.0,4830.0,26150.0
118,2020-10-15,4840.0,4675.0,4830.0,4775.0,41150.0
119,2020-10-16,4780.0,4665.0,4760.0,4780.0,24194.0
120,2020-10-19,4780.0,4700.0,4720.0,4780.0,13575.0
121,2020-10-20,4790.0,4690.0,4690.0,4790.0,9193.0
122,2020-10-21,4800.0,4760.0,4790.0,4790.0,18799.0
123,2020-10-22,4810.0,4760.0,4810.0,4800.0,7099.0
124,2020-10-23,4860.0,4780.0,4860.0,4835.0,9521.0
125,2020-10-26,4835.0,4715.0,4785.0,4795.0,11673.0
126,2020-10-27,4790.0,4420.0,4790.0,4700.0,18055.0
127,2020-10-28,4760.0,4635.0,4650.0,4695.0,8788.0
128,2020-10-29,4725.0,4570.0,4570.0,4695.0,19715.0
129,2020-10-30,4775.0,4645.0,4775.0,4645.0,7400.0
130,2020-11-02,4720.0,4640.0,4645.0,4665.0,9314.0
131,2020-11-03,4725.0,4625.0,4625.0,4720.0,14057.0
132,2020-11-04,4775.0,4675.0,4775.0,4720.0,9494.0
133,2020-11-05,4795.0,4700.0,4795.0,4730.0,23078.0
134,2020-11-06,4765.0,4700.0,4765.0,4730.0,5889.0
135,2020-11-09,4795.0,4710.0,4735.0,4780.0,10316.0
136,2020-11-10,4860.0,4745.0,4855.0,4795.0,10025.0
137,2020-11-11,4795.0,4750.0,4795.0,4775.0,13731.0
