,index,High,Low,Open,Close,Volume
0,2020-05-04,3280.0,3150.0,3160.0,3215.0,2242651.0
1,2020-05-06,3405.0,3215.0,3250.0,3295.0,4740460.0
2,2020-05-07,3470.0,3295.0,3390.0,3330.0,5373550.0
3,2020-05-08,3450.0,3350.0,3350.0,3410.0,3066053.0
4,2020-05-11,3355.0,3235.0,3340.0,3290.0,2137995.0
5,2020-05-12,3415.0,3255.0,3255.0,3290.0,2753770.0
6,2020-05-13,3285.0,3200.0,3200.0,3270.0,910717.0
7,2020-05-14,3280.0,3175.0,3240.0,3175.0,1098688.0
8,2020-05-15,3250.0,3140.0,3250.0,3235.0,1054579.0
9,2020-05-18,3270.0,3210.0,3235.0,3260.0,941353.0
10,2020-05-19,3330.0,3230.0,3280.0,3300.0,1390581.0
11,2020-05-20,3425.0,3300.0,3300.0,3375.0,2155304.0
12,2020-05-21,3410.0,3340.0,3400.0,3345.0,1129139.0
13,2020-05-22,3360.0,3215.0,3345.0,3250.0,1169761.0
14,2020-05-25,3385.0,3225.0,3235.0,3375.0,1282608.0
15,2020-05-26,3410.0,3360.0,3400.0,3370.0,1230984.0
16,2020-05-27,3450.0,3365.0,3410.0,3420.0,2205924.0
17,2020-05-28,3475.0,3260.0,3420.0,3335.0,2504753.0
18,2020-05-29,3405.0,3265.0,3345.0,3380.0,1437373.0
19,2020-06-01,3530.0,3370.0,3390.0,3455.0,3703680.0
20,2020-06-02,3600.0,3430.0,3460.0,3530.0,4304313.0
21,2020-06-03,3560.0,3455.0,3560.0,3460.0,1675655.0
22,2020-06-04,3565.0,3420.0,3465.0,3495.0,2527490.0
23,2020-06-05,3520.0,3435.0,3495.0,3445.0,1007807.0
24,2020-06-08,3490.0,3420.0,3445.0,3445.0,909568.0
25,2020-06-09,3500.0,3360.0,3445.0,3390.0,1340475.0
26,2020-06-10,3545.0,3390.0,3390.0,3405.0,2377780.0
27,2020-06-11,3425.0,3335.0,3405.0,3335.0,1128054.0
28,2020-06-12,3335.0,3150.0,3150.0,3245.0,1320336.0
29,2020-06-15,3420.0,3150.0,3285.0,3180.0,3191466.0
30,2020-06-16,3340.0,3205.0,3260.0,3295.0,1342991.0
31,2020-06-17,3350.0,3060.0,3280.0,3215.0,1042222.0
32,2020-06-18,3250.0,3140.0,3210.0,3175.0,898962.0
33,2020-06-19,3240.0,3150.0,3185.0,3220.0,689065.0
34,2020-06-22,3255.0,3180.0,3190.0,3250.0,716617.0
35,2020-06-23,3315.0,3185.0,3300.0,3190.0,692701.0
36,2020-06-24,3255.0,3150.0,3220.0,3210.0,440358.0
37,2020-06-25,3195.0,3105.0,3160.0,3135.0,643189.0
38,2020-06-26,3165.0,3100.0,3155.0,3105.0,517094.0
39,2020-06-29,3095.0,2990.0,3060.0,2995.0,733084.0
40,2020-06-30,3065.0,2970.0,3030.0,2985.0,618169.0
41,2020-07-01,3115.0,2970.0,2970.0,3025.0,806610.0
42,2020-07-02,3475.0,3010.0,3010.0,3230.0,8517859.0
43,2020-07-03,3320.0,3175.0,3270.0,3310.0,2260036.0
44,2020-07-06,3425.0,3260.0,3420.0,3295.0,2155936.0
45,2020-07-07,3450.0,3295.0,3310.0,3315.0,2679372.0
46,2020-07-08,3430.0,3300.0,3325.0,3400.0,1939070.0
47,2020-07-09,3465.0,3375.0,3405.0,3415.0,1494175.0
