,index,High,Low,Open,Close,Volume
0,2020-05-04,4040.0,3820.0,3820.0,3990.0,3335957.0
1,2020-05-06,4005.0,3820.0,4000.0,3880.0,3383264.0
2,2020-05-07,3995.0,3820.0,3880.0,3950.0,2476363.0
3,2020-05-08,3990.0,3950.0,3965.0,3955.0,1398424.0
4,2020-05-11,3900.0,3810.0,3900.0,3845.0,1921421.0
5,2020-05-12,3840.0,3700.0,3835.0,3715.0,2479947.0
6,2020-05-13,3915.0,3600.0,3680.0,3715.0,2812905.0
7,2020-05-14,3755.0,3640.0,3705.0,3670.0,1245745.0
8,2020-05-15,3835.0,3655.0,3710.0,3790.0,2540747.0
9,2020-05-18,3765.0,3665.0,3750.0,3740.0,1288029.0
10,2020-05-19,4330.0,3885.0,4100.0,3930.0,9841359.0
11,2020-05-20,3940.0,3790.0,3900.0,3900.0,2733824.0
12,2020-05-21,4020.0,3885.0,4015.0,3885.0,3268218.0
13,2020-05-22,3905.0,3805.0,3880.0,3825.0,1690398.0
14,2020-05-25,3865.0,3760.0,3830.0,3820.0,1599427.0
15,2020-05-26,3930.0,3780.0,3825.0,3880.0,2560820.0
16,2020-05-27,4015.0,3925.0,4000.0,3945.0,4711924.0
17,2020-05-28,4130.0,3930.0,4035.0,4005.0,5836386.0
18,2020-05-29,4065.0,3940.0,4015.0,4045.0,2438334.0
19,2020-06-01,4040.0,3980.0,4040.0,4005.0,2126350.0
20,2020-06-02,4085.0,4005.0,4020.0,4050.0,3145309.0
21,2020-06-03,4195.0,4050.0,4085.0,4150.0,5396820.0
22,2020-06-04,4330.0,4055.0,4250.0,4110.0,7389867.0
23,2020-06-05,4545.0,4240.0,4280.0,4310.0,14279383.0
24,2020-06-08,4410.0,4245.0,4410.0,4315.0,4756268.0
25,2020-06-09,4540.0,4330.0,4405.0,4440.0,11907833.0
26,2020-06-10,4400.0,4080.0,4250.0,4350.0,6186036.0
27,2020-06-11,4535.0,4200.0,4340.0,4435.0,11840890.0
28,2020-06-12,4300.0,4160.0,4165.0,4215.0,3715166.0
29,2020-06-15,4180.0,3865.0,4180.0,3895.0,4235320.0
30,2020-06-16,4055.0,3925.0,3940.0,4025.0,1953134.0
31,2020-06-17,4000.0,3875.0,3995.0,3920.0,1990164.0
32,2020-06-18,3960.0,3825.0,3850.0,3930.0,1469369.0
33,2020-06-19,3990.0,3860.0,3970.0,3990.0,1312183.0
34,2020-06-22,3940.0,3875.0,3940.0,3905.0,1187448.0
35,2020-06-23,4010.0,3875.0,3920.0,3990.0,1755847.0
36,2020-06-24,3970.0,3885.0,3970.0,3930.0,1289894.0
37,2020-06-25,3935.0,3830.0,3930.0,3840.0,1337259.0
38,2020-06-26,3890.0,3805.0,3840.0,3870.0,1364246.0
39,2020-06-29,3850.0,3775.0,3800.0,3790.0,1043063.0
40,2020-06-30,3860.0,3785.0,3830.0,3840.0,1102766.0
41,2020-07-01,3885.0,3790.0,3880.0,3805.0,875411.0
42,2020-07-02,3845.0,3780.0,3805.0,3820.0,916019.0
43,2020-07-03,3995.0,3785.0,3820.0,3950.0,2591718.0
44,2020-07-06,3970.0,3850.0,3970.0,3900.0,1162378.0
45,2020-07-07,3925.0,3850.0,3860.0,3885.0,1391916.0
46,2020-07-08,3895.0,3840.0,3885.0,3885.0,867642.0
47,2020-07-09,3905.0,3840.0,3880.0,3865.0,1048875.0
48,2020-07-10,3850.0,3760.0,3850.0,3765.0,1304803.0
49,2020-07-13,3835.0,3775.0,3835.0,3795.0,726696.0
50,2020-07-14,3835.0,3770.0,3795.0,3810.0,894283.0
51,2020-07-15,3880.0,3810.0,3810.0,3875.0,1290899.0
52,2020-07-16,3980.0,3835.0,3935.0,3840.0,1687342.0
53,2020-07-17,3855.0,3785.0,3785.0,3830.0,857849.0
54,2020-07-20,3820.0,3770.0,3790.0,3810.0,1266205.0
55,2020-07-21,3885.0,3785.0,3815.0,3835.0,1932119.0
56,2020-07-22,3870.0,3805.0,3855.0,3810.0,1233944.0
57,2020-07-23,3815.0,3750.0,3810.0,3765.0,1397156.0
58,2020-07-24,3695.0,3650.0,3695.0,3665.0,1788842.0
59,2020-07-27,3565.0,3400.0,3505.0,3560.0,2402522.0
60,2020-07-28,4550.0,3515.0,3595.0,4295.0,75616105.0
61,2020-07-29,4795.0,4235.0,4560.0,4300.0,57287089.0
62,2020-07-30,4445.0,4035.0,4320.0,4085.0,13719192.0
63,2020-07-31,4280.0,3945.0,4050.0,4080.0,10259186.0
64,2020-08-03,4070.0,3945.0,4070.0,3970.0,4371485.0
65,2020-08-04,4430.0,4075.0,4350.0,4090.0,10860472.0
66,2020-08-05,4230.0,4000.0,4095.0,4055.0,4432430.0
67,2020-08-06,4120.0,4020.0,4055.0,4090.0,2899382.0
68,2020-08-07,4480.0,4150.0,4220.0,4295.0,16011018.0
69,2020-08-10,4390.0,4235.0,4380.0,4310.0,5263490.0
70,2020-08-11,4670.0,4265.0,4345.0,4465.0,15868047.0
71,2020-08-12,4645.0,4345.0,4470.0,4500.0,9853600.0
72,2020-08-13,4510.0,4310.0,4500.0,4345.0,4845909.0
73,2020-08-14,4345.0,4195.0,4340.0,4270.0,2587682.0
74,2020-08-18,4190.0,4010.0,4150.0,4015.0,3349500.0
