,index,High,Low,Open,Close,Volume
0,2020-04-22,1800.0,1725.0,1800.0,1785.0,38496.0
1,2020-04-23,1860.0,1795.0,1860.0,1830.0,25142.0
2,2020-04-24,1855.0,1780.0,1780.0,1840.0,30882.0
3,2020-04-27,1870.0,1790.0,1870.0,1820.0,35329.0
4,2020-04-28,1820.0,1775.0,1820.0,1820.0,29578.0
5,2020-04-29,1900.0,1800.0,1815.0,1885.0,144318.0
6,2020-05-04,1885.0,1750.0,1885.0,1850.0,48959.0
7,2020-05-06,1895.0,1835.0,1895.0,1850.0,48947.0
8,2020-05-07,1895.0,1840.0,1870.0,1890.0,66241.0
9,2020-05-08,1930.0,1825.0,1925.0,1835.0,95152.0
10,2020-05-11,1910.0,1845.0,1850.0,1880.0,66117.0
11,2020-05-12,1895.0,1850.0,1895.0,1890.0,40161.0
12,2020-05-13,2045.0,1880.0,1935.0,1915.0,259115.0
13,2020-05-14,1930.0,1850.0,1930.0,1860.0,88806.0
14,2020-05-15,1920.0,1830.0,1870.0,1855.0,65996.0
15,2020-05-18,1970.0,1800.0,1850.0,1835.0,150975.0
16,2020-05-19,1900.0,1820.0,1880.0,1840.0,93119.0
17,2020-05-20,1870.0,1820.0,1840.0,1850.0,81409.0
18,2020-05-21,1940.0,1845.0,1845.0,1900.0,166569.0
19,2020-05-22,1930.0,1850.0,1920.0,1855.0,89284.0
20,2020-05-25,1885.0,1800.0,1855.0,1885.0,111091.0
21,2020-05-26,1895.0,1850.0,1890.0,1885.0,42656.0
22,2020-05-27,1905.0,1800.0,1885.0,1865.0,303981.0
23,2020-05-28,1885.0,1780.0,1865.0,1795.0,186409.0
24,2020-05-29,1880.0,1790.0,1795.0,1825.0,135225.0
25,2020-06-01,1845.0,1800.0,1825.0,1845.0,71191.0
26,2020-06-02,1860.0,1810.0,1845.0,1845.0,38178.0
27,2020-06-03,1875.0,1815.0,1845.0,1825.0,68870.0
28,2020-06-04,1880.0,1830.0,1865.0,1855.0,55955.0
29,2020-06-05,1870.0,1825.0,1865.0,1860.0,37456.0
30,2020-06-08,1910.0,1840.0,1895.0,1865.0,164457.0
31,2020-06-09,1895.0,1855.0,1865.0,1875.0,170899.0
32,2020-06-10,2435.0,1880.0,1880.0,2435.0,2236665.0
33,2020-06-11,3165.0,2460.0,2805.0,2515.0,16086018.0
34,2020-06-12,2435.0,2235.0,2310.0,2435.0,1487041.0
35,2020-06-15,2435.0,2075.0,2405.0,2095.0,824897.0
36,2020-06-16,2245.0,2130.0,2170.0,2210.0,571955.0
37,2020-06-17,2240.0,2055.0,2155.0,2135.0,460939.0
38,2020-06-18,2520.0,2110.0,2140.0,2385.0,2995439.0
39,2020-06-19,2525.0,2290.0,2350.0,2385.0,873034.0
40,2020-06-22,2445.0,2300.0,2385.0,2370.0,304342.0
41,2020-06-23,3080.0,2520.0,2605.0,3080.0,4099169.0
42,2020-06-24,3540.0,2820.0,3500.0,2870.0,7513073.0
43,2020-06-25,3000.0,2695.0,2840.0,2965.0,1868028.0
44,2020-06-26,2970.0,2810.0,2965.0,2810.0,715696.0
45,2020-06-29,2815.0,2650.0,2675.0,2695.0,400378.0
46,2020-06-30,2715.0,2550.0,2685.0,2610.0,2432731.0
47,2020-07-01,2665.0,2575.0,2610.0,2595.0,565452.0
48,2020-07-02,2700.0,2590.0,2605.0,2640.0,626026.0
49,2020-07-03,2930.0,2630.0,2650.0,2710.0,1193442.0
50,2020-07-06,3010.0,2730.0,2745.0,2895.0,1897242.0
51,2020-07-07,3065.0,2860.0,2920.0,3000.0,1284529.0
52,2020-07-08,3035.0,2900.0,3000.0,2920.0,803272.0
53,2020-07-09,2970.0,2880.0,2955.0,2950.0,376118.0
54,2020-07-10,3355.0,2880.0,2915.0,3055.0,1957322.0
55,2020-07-13,3800.0,3070.0,3070.0,3580.0,4024455.0
56,2020-07-14,3840.0,3190.0,3590.0,3295.0,1986530.0
57,2020-07-15,3375.0,3025.0,3360.0,3180.0,730026.0
58,2020-07-16,3345.0,3150.0,3255.0,3200.0,426051.0
59,2020-07-17,3430.0,3210.0,3210.0,3425.0,644267.0
60,2020-07-20,3825.0,3495.0,3500.0,3660.0,2132638.0
61,2020-07-21,3800.0,3410.0,3675.0,3585.0,1005255.0
62,2020-07-22,3660.0,3485.0,3575.0,3620.0,315148.0
63,2020-07-23,3770.0,3520.0,3630.0,3560.0,519160.0
64,2020-07-24,3555.0,3325.0,3525.0,3380.0,498190.0
65,2020-07-27,3380.0,3265.0,3375.0,3290.0,261804.0
66,2020-07-28,3395.0,3250.0,3310.0,3270.0,235048.0
67,2020-07-29,3395.0,3205.0,3300.0,3320.0,272812.0
68,2020-07-30,3375.0,3280.0,3355.0,3300.0,233734.0
69,2020-07-31,3340.0,3240.0,3340.0,3290.0,118916.0
70,2020-08-03,3315.0,3215.0,3290.0,3300.0,140205.0
71,2020-08-04,3340.0,3250.0,3340.0,3275.0,119279.0
72,2020-08-05,3300.0,3170.0,3300.0,3200.0,227573.0
73,2020-08-06,3300.0,3110.0,3300.0,3140.0,159191.0
74,2020-08-07,3195.0,3090.0,3195.0,3120.0,208819.0
75,2020-08-10,3240.0,3110.0,3130.0,3225.0,180631.0
76,2020-08-11,3495.0,3220.0,3235.0,3375.0,484622.0
77,2020-08-12,3425.0,3310.0,3400.0,3370.0,292073.0
78,2020-08-13,3540.0,3370.0,3370.0,3450.0,329145.0
79,2020-08-14,4300.0,3500.0,3740.0,3595.0,2119475.0
80,2020-08-18,3620.0,3325.0,3595.0,3380.0,422835.0
81,2020-08-19,3500.0,3310.0,3310.0,3410.0,197860.0
82,2020-08-20,3785.0,3170.0,3325.0,3270.0,835875.0
83,2020-08-21,3370.0,3150.0,3300.0,3190.0,200314.0
84,2020-08-24,3220.0,3045.0,3220.0,3135.0,227541.0
85,2020-08-25,3255.0,3160.0,3170.0,3245.0,107324.0
86,2020-08-26,3245.0,3135.0,3245.0,3190.0,122232.0
87,2020-08-27,3415.0,3145.0,3330.0,3170.0,549310.0
88,2020-08-28,3300.0,3155.0,3170.0,3160.0,333604.0
89,2020-08-31,3185.0,3135.0,3180.0,3145.0,144369.0
90,2020-09-01,3350.0,3150.0,3150.0,3335.0,379516.0
91,2020-09-02,3595.0,3335.0,3335.0,3590.0,790145.0
92,2020-09-03,3795.0,3555.0,3555.0,3695.0,799669.0
93,2020-09-04,3950.0,3420.0,3450.0,3450.0,2048450.0
94,2020-09-07,3450.0,3265.0,3445.0,3355.0,582863.0
95,2020-09-08,3400.0,3280.0,3360.0,3360.0,218199.0
96,2020-09-09,3425.0,3190.0,3250.0,3420.0,333233.0
97,2020-09-10,3615.0,3430.0,3450.0,3450.0,347095.0
98,2020-09-11,3550.0,3415.0,3470.0,3510.0,167010.0
99,2020-09-14,3650.0,3480.0,3510.0,3650.0,233448.0
100,2020-09-15,3790.0,3640.0,3650.0,3735.0,624921.0
101,2020-09-16,3870.0,3680.0,3735.0,3810.0,613671.0
102,2020-09-17,4280.0,3435.0,4000.0,3475.0,2636485.0
103,2020-09-18,3540.0,3410.0,3500.0,3515.0,258207.0
104,2020-09-21,3550.0,3290.0,3550.0,3445.0,332180.0
105,2020-09-22,3405.0,3275.0,3285.0,3295.0,174135.0
106,2020-09-23,3365.0,3190.0,3300.0,3225.0,126841.0
107,2020-09-24,3220.0,3075.0,3150.0,3080.0,262754.0
108,2020-09-25,3300.0,3080.0,3080.0,3160.0,164389.0
109,2020-09-28,3550.0,3115.0,3230.0,3290.0,1077748.0
110,2020-09-29,3525.0,3245.0,3355.0,3365.0,689638.0
111,2020-10-05,3400.0,3320.0,3360.0,3365.0,101653.0
112,2020-10-06,3430.0,3270.0,3335.0,3340.0,134173.0
113,2020-10-07,3385.0,3300.0,3300.0,3345.0,95585.0
114,2020-10-08,3485.0,3315.0,3485.0,3350.0,106696.0
115,2020-10-12,3395.0,3335.0,3345.0,3350.0,98271.0
116,2020-10-13,3400.0,3320.0,3350.0,3360.0,94080.0
117,2020-10-14,3390.0,3320.0,3390.0,3320.0,104609.0
118,2020-10-15,3365.0,3250.0,3300.0,3310.0,111107.0
119,2020-10-16,3320.0,3200.0,3255.0,3250.0,107972.0
120,2020-10-19,3375.0,3130.0,3315.0,3150.0,267723.0
121,2020-10-20,3215.0,3110.0,3200.0,3180.0,53804.0
122,2020-10-21,3195.0,3070.0,3190.0,3175.0,68849.0
123,2020-10-22,3170.0,3080.0,3170.0,3100.0,51111.0
124,2020-10-23,3145.0,3000.0,3100.0,3045.0,87523.0
125,2020-10-26,3045.0,2870.0,3045.0,2870.0,131021.0
126,2020-10-27,3095.0,2870.0,2950.0,2900.0,72895.0
127,2020-10-28,2970.0,2865.0,2900.0,2930.0,51966.0
128,2020-10-29,2930.0,2815.0,2925.0,2930.0,40440.0
129,2020-10-30,3100.0,2910.0,2915.0,3000.0,44320.0
130,2020-11-02,3200.0,3000.0,3000.0,3195.0,158213.0
131,2020-11-03,3240.0,3150.0,3200.0,3220.0,128848.0
132,2020-11-04,3530.0,3245.0,3245.0,3380.0,1562848.0
133,2020-11-05,3435.0,3240.0,3255.0,3400.0,489728.0
134,2020-11-06,3515.0,3400.0,3455.0,3500.0,460640.0
135,2020-11-09,3565.0,3260.0,3470.0,3325.0,608974.0
136,2020-11-10,3375.0,3150.0,3325.0,3250.0,274402.0
137,2020-11-11,3290.0,3170.0,3290.0,3205.0,142787.0
