,index,High,Low,Open,Close,Volume
0,2020-05-08,9480.0,9370.0,9410.0,9440.0,9245.0
1,2020-05-11,9580.0,9300.0,9580.0,9410.0,12095.0
2,2020-05-12,9450.0,9250.0,9450.0,9320.0,10672.0
3,2020-05-13,9420.0,9160.0,9420.0,9300.0,5472.0
4,2020-05-14,9350.0,8910.0,9350.0,9260.0,6476.0
5,2020-05-15,9340.0,9140.0,9330.0,9250.0,6322.0
6,2020-05-18,9320.0,9100.0,9250.0,9180.0,8024.0
7,2020-05-19,9240.0,9050.0,9050.0,9200.0,7573.0
8,2020-05-20,9330.0,9150.0,9290.0,9320.0,5435.0
9,2020-05-21,9380.0,9220.0,9320.0,9320.0,3857.0
10,2020-05-22,9350.0,9200.0,9350.0,9290.0,3876.0
11,2020-05-25,9300.0,9200.0,9290.0,9270.0,3238.0
12,2020-05-26,9310.0,8750.0,9300.0,9250.0,12827.0
13,2020-05-27,9290.0,9150.0,9290.0,9270.0,6721.0
14,2020-05-28,9300.0,9060.0,9300.0,9240.0,5875.0
15,2020-05-29,9200.0,9060.0,9060.0,9070.0,6998.0
16,2020-06-01,9280.0,9020.0,9070.0,9250.0,18574.0
17,2020-06-02,9260.0,9100.0,9150.0,9190.0,7926.0
18,2020-06-03,9890.0,9200.0,9200.0,9500.0,84299.0
19,2020-06-04,9770.0,9450.0,9450.0,9680.0,28399.0
20,2020-06-05,9890.0,9580.0,9710.0,9700.0,15066.0
21,2020-06-08,9760.0,9540.0,9760.0,9680.0,21159.0
22,2020-06-09,9900.0,9590.0,9710.0,9810.0,28866.0
23,2020-06-10,9850.0,9510.0,9850.0,9680.0,11260.0
24,2020-06-11,9890.0,9630.0,9710.0,9630.0,13064.0
25,2020-06-12,9780.0,9410.0,9420.0,9720.0,30495.0
26,2020-06-15,9860.0,9200.0,9720.0,9200.0,28907.0
27,2020-06-16,9580.0,9300.0,9580.0,9470.0,15118.0
28,2020-06-17,10200.0,9300.0,9470.0,10000.0,110771.0
29,2020-06-18,12650.0,10150.0,10200.0,11200.0,1289267.0
30,2020-06-19,13800.0,11500.0,11900.0,12150.0,1400334.0
31,2020-06-22,11900.0,10400.0,11900.0,10600.0,287315.0
32,2020-06-23,10700.0,9990.0,10650.0,10450.0,135675.0
33,2020-06-24,10500.0,9920.0,10350.0,10200.0,107521.0
34,2020-06-25,10450.0,9990.0,9990.0,10200.0,62974.0
35,2020-06-26,10500.0,10050.0,10200.0,10350.0,38277.0
36,2020-06-29,10300.0,9320.0,10100.0,9710.0,73477.0
37,2020-06-30,9840.0,9530.0,9800.0,9650.0,23210.0
38,2020-07-01,9630.0,9280.0,9550.0,9300.0,41720.0
39,2020-07-02,9600.0,9300.0,9300.0,9520.0,20816.0
40,2020-07-03,9670.0,9400.0,9570.0,9490.0,19796.0
41,2020-07-06,9630.0,9410.0,9600.0,9610.0,22533.0
42,2020-07-07,9690.0,9500.0,9550.0,9560.0,12501.0
43,2020-07-08,9840.0,9520.0,9650.0,9830.0,37663.0
44,2020-07-09,9960.0,9730.0,9850.0,9830.0,16955.0
45,2020-07-10,9920.0,9540.0,9920.0,9630.0,18278.0
46,2020-07-13,9780.0,9400.0,9780.0,9490.0,27597.0
47,2020-07-14,9560.0,9300.0,9490.0,9450.0,29254.0
48,2020-07-15,9500.0,9330.0,9500.0,9480.0,11768.0
49,2020-07-16,9530.0,9380.0,9480.0,9420.0,6861.0
50,2020-07-17,9490.0,9370.0,9480.0,9410.0,6772.0
51,2020-07-20,9430.0,9310.0,9390.0,9350.0,13250.0
52,2020-07-21,9440.0,9280.0,9440.0,9370.0,11234.0
53,2020-07-22,9420.0,9260.0,9370.0,9340.0,14145.0
54,2020-07-23,9400.0,9250.0,9400.0,9330.0,19304.0
55,2020-07-24,9490.0,9300.0,9350.0,9490.0,24094.0
56,2020-07-27,9920.0,9510.0,9510.0,9860.0,71065.0
57,2020-07-28,9940.0,9600.0,9870.0,9680.0,23801.0
58,2020-07-29,9790.0,9420.0,9680.0,9500.0,16251.0
59,2020-07-30,9690.0,9380.0,9690.0,9440.0,11064.0
60,2020-07-31,9570.0,9370.0,9570.0,9390.0,11669.0
61,2020-08-03,9540.0,9350.0,9350.0,9520.0,20585.0
62,2020-08-04,9620.0,9390.0,9510.0,9520.0,32095.0
63,2020-08-05,9660.0,9450.0,9660.0,9560.0,6002.0
64,2020-08-06,9600.0,9460.0,9540.0,9480.0,8375.0
65,2020-08-07,9550.0,9400.0,9410.0,9500.0,19316.0
66,2020-08-10,9540.0,9420.0,9540.0,9500.0,3936.0
67,2020-08-11,9540.0,9420.0,9540.0,9500.0,10750.0
68,2020-08-12,9570.0,9460.0,9500.0,9460.0,10016.0
69,2020-08-13,9530.0,9450.0,9500.0,9510.0,5439.0
70,2020-08-14,9690.0,9500.0,9660.0,9530.0,23016.0
71,2020-08-18,9530.0,9150.0,9530.0,9270.0,21569.0
72,2020-08-19,9350.0,9200.0,9350.0,9320.0,6532.0
73,2020-08-20,9380.0,9000.0,9380.0,9140.0,21159.0
74,2020-08-21,9380.0,9020.0,9140.0,9130.0,11068.0
75,2020-08-24,9270.0,9030.0,9270.0,9130.0,3341.0
76,2020-08-25,9350.0,9110.0,9330.0,9270.0,5923.0
77,2020-08-26,9300.0,9160.0,9300.0,9220.0,6754.0
78,2020-08-27,9350.0,9170.0,9300.0,9240.0,4982.0
79,2020-08-28,9290.0,9170.0,9240.0,9260.0,3439.0
