,index,High,Low,Open,Close,Volume
0,2020-05-04,5050.0,4800.0,4800.0,4950.0,261995.0
1,2020-05-06,5050.0,4950.0,4990.0,5040.0,335702.0
2,2020-05-07,4850.0,4240.0,4545.0,4495.0,1718320.0
3,2020-05-08,4590.0,4495.0,4500.0,4505.0,293144.0
4,2020-05-11,4580.0,4485.0,4580.0,4500.0,212431.0
5,2020-05-12,4505.0,4105.0,4425.0,4390.0,489264.0
6,2020-05-13,4400.0,4150.0,4390.0,4400.0,562338.0
7,2020-05-14,4655.0,4355.0,4410.0,4500.0,258698.0
8,2020-05-15,4670.0,4455.0,4455.0,4580.0,378483.0
9,2020-05-18,4930.0,4545.0,4650.0,4755.0,625598.0
10,2020-05-19,4945.0,4775.0,4840.0,4905.0,362399.0
11,2020-05-20,5050.0,4895.0,4905.0,5000.0,301166.0
12,2020-05-21,5170.0,5020.0,5050.0,5130.0,292639.0
13,2020-05-22,5150.0,4720.0,5150.0,4900.0,452663.0
14,2020-05-25,5040.0,4905.0,4905.0,5040.0,183532.0
15,2020-05-26,5110.0,5000.0,5110.0,5030.0,174063.0
16,2020-05-27,5060.0,4985.0,4990.0,5000.0,215384.0
17,2020-05-28,5320.0,4975.0,4975.0,5280.0,777014.0
18,2020-05-29,5100.0,4495.0,5100.0,4750.0,1779783.0
19,2020-06-01,4810.0,4620.0,4760.0,4700.0,450440.0
20,2020-06-02,4835.0,4635.0,4765.0,4775.0,338781.0
21,2020-06-03,4870.0,4745.0,4870.0,4815.0,236311.0
22,2020-06-04,4855.0,4685.0,4805.0,4725.0,212096.0
23,2020-06-05,4760.0,4430.0,4760.0,4635.0,344346.0
24,2020-06-08,4690.0,4575.0,4640.0,4625.0,259548.0
25,2020-06-09,4690.0,4495.0,4690.0,4645.0,356681.0
26,2020-06-10,4660.0,4505.0,4645.0,4575.0,203268.0
27,2020-06-11,4630.0,4470.0,4575.0,4525.0,363038.0
28,2020-06-12,4430.0,4235.0,4360.0,4330.0,411824.0
29,2020-06-15,4340.0,3825.0,4250.0,3920.0,696020.0
30,2020-06-16,4055.0,3865.0,4000.0,4050.0,374116.0
31,2020-06-17,4260.0,4050.0,4090.0,4190.0,270356.0
32,2020-06-18,4250.0,4145.0,4195.0,4190.0,128376.0
33,2020-06-19,4235.0,4070.0,4190.0,4110.0,172720.0
