,index,High,Low,Open,Close,Volume
0,2020-05-08,12900.0,11450.0,11550.0,12300.0,3694892.0
1,2020-05-11,12900.0,12000.0,12850.0,12000.0,1127074.0
2,2020-05-12,12900.0,11900.0,12250.0,12650.0,2218392.0
3,2020-05-13,12850.0,12200.0,12700.0,12400.0,775737.0
4,2020-05-14,14200.0,12400.0,12550.0,13150.0,7888531.0
5,2020-05-15,14900.0,12200.0,13250.0,13300.0,7284281.0
6,2020-05-18,13400.0,12550.0,13000.0,12650.0,1173406.0
7,2020-05-19,12200.0,11350.0,12000.0,11450.0,1340354.0
8,2020-05-20,11900.0,11450.0,11700.0,11650.0,615449.0
9,2020-05-21,11800.0,11400.0,11550.0,11800.0,471325.0
10,2020-05-22,12050.0,11350.0,12050.0,11500.0,486923.0
11,2020-05-25,11800.0,11200.0,11600.0,11600.0,585528.0
12,2020-05-26,11700.0,11200.0,11700.0,11250.0,517394.0
13,2020-05-27,11750.0,10800.0,11250.0,11400.0,913606.0
14,2020-05-28,11650.0,11000.0,11450.0,11450.0,597384.0
15,2020-05-29,11600.0,11050.0,11450.0,11200.0,453546.0
16,2020-06-01,11300.0,10700.0,11300.0,10850.0,738707.0
17,2020-06-02,10700.0,10200.0,10650.0,10450.0,777487.0
18,2020-06-03,10450.0,10050.0,10450.0,10150.0,527692.0
19,2020-06-04,10650.0,9980.0,10250.0,10600.0,588728.0
20,2020-06-05,10750.0,10450.0,10600.0,10700.0,396371.0
21,2020-06-08,10900.0,10500.0,10750.0,10600.0,367031.0
22,2020-06-09,10650.0,10200.0,10600.0,10400.0,419902.0
23,2020-06-10,10550.0,10300.0,10400.0,10400.0,206771.0
24,2020-06-11,11050.0,10250.0,10600.0,10350.0,681414.0
25,2020-06-12,10800.0,9990.0,10400.0,10000.0,885714.0
26,2020-06-15,10200.0,9250.0,10100.0,9350.0,687705.0
27,2020-06-16,9950.0,9430.0,9450.0,9850.0,488942.0
28,2020-06-17,9790.0,9330.0,9650.0,9470.0,259299.0
29,2020-06-18,9600.0,9210.0,9580.0,9260.0,223982.0
30,2020-06-19,9450.0,8990.0,9290.0,9270.0,370467.0
31,2020-06-22,9900.0,9130.0,9440.0,9130.0,548699.0
32,2020-06-23,9270.0,8840.0,9130.0,8940.0,345949.0
33,2020-06-24,9600.0,8790.0,9080.0,9510.0,637226.0
34,2020-06-25,9800.0,8990.0,9610.0,9020.0,632613.0
35,2020-06-26,9400.0,8980.0,9060.0,9260.0,313131.0
36,2020-06-29,9450.0,8990.0,9400.0,9010.0,308661.0
37,2020-06-30,9560.0,8930.0,9100.0,9050.0,487853.0
38,2020-07-01,9440.0,9030.0,9150.0,9100.0,342486.0
39,2020-07-02,9410.0,9110.0,9150.0,9350.0,249043.0
40,2020-07-03,9960.0,9350.0,9400.0,9690.0,1330667.0
41,2020-07-06,9790.0,9390.0,9740.0,9490.0,354902.0
42,2020-07-07,9560.0,9160.0,9480.0,9240.0,244445.0
43,2020-07-08,9400.0,9130.0,9280.0,9180.0,215927.0
44,2020-07-09,9240.0,9030.0,9180.0,9080.0,195904.0
45,2020-07-10,10500.0,9030.0,9030.0,9650.0,2824524.0
46,2020-07-13,10150.0,9450.0,9700.0,9870.0,1115316.0
47,2020-07-14,9800.0,9530.0,9750.0,9580.0,431685.0
48,2020-07-15,9630.0,9300.0,9630.0,9340.0,292151.0
49,2020-07-16,9430.0,9150.0,9250.0,9180.0,261556.0
50,2020-07-17,9350.0,9170.0,9170.0,9230.0,142061.0
51,2020-07-20,9370.0,9150.0,9210.0,9170.0,210196.0
52,2020-07-21,9330.0,9130.0,9150.0,9160.0,243322.0
53,2020-07-22,11900.0,9010.0,9160.0,11900.0,13866491.0
54,2020-07-23,13300.0,11300.0,11900.0,11600.0,10396301.0
55,2020-07-24,11900.0,10800.0,11750.0,11250.0,2963739.0
56,2020-07-27,12700.0,11300.0,11550.0,12150.0,4996979.0
57,2020-07-28,12250.0,11350.0,12250.0,11600.0,1301940.0
58,2020-07-29,12800.0,11700.0,11750.0,12100.0,2754904.0
59,2020-07-30,13900.0,12100.0,12150.0,13300.0,7507113.0
60,2020-07-31,13800.0,12750.0,13550.0,12850.0,2536805.0
61,2020-08-03,15650.0,13150.0,13150.0,14400.0,8042503.0
