,index,High,Low,Open,Close,Volume
0,2020-04-22,7390.0,6820.0,6900.0,7230.0,4074189.0
1,2020-04-23,7460.0,7170.0,7260.0,7200.0,4352027.0
2,2020-04-24,7880.0,7200.0,7360.0,7310.0,12813540.0
3,2020-04-27,7440.0,7240.0,7400.0,7250.0,2132798.0
4,2020-04-28,7340.0,6950.0,7340.0,6990.0,2252465.0
5,2020-04-29,7220.0,6830.0,7000.0,7000.0,2531499.0
6,2020-05-04,7300.0,6800.0,6800.0,7160.0,3243395.0
7,2020-05-06,7180.0,7010.0,7160.0,7030.0,1529018.0
8,2020-05-07,7400.0,6960.0,6990.0,7010.0,4214050.0
9,2020-05-08,7290.0,7050.0,7080.0,7270.0,3789551.0
10,2020-05-11,8060.0,7510.0,7910.0,7600.0,11661348.0
11,2020-05-12,7760.0,7310.0,7730.0,7600.0,5214571.0
12,2020-05-13,8120.0,7650.0,7960.0,7650.0,11360740.0
13,2020-05-14,8160.0,7610.0,7620.0,8000.0,9709348.0
14,2020-05-15,8110.0,7640.0,8100.0,7680.0,3904119.0
15,2020-05-18,7340.0,7050.0,7110.0,7060.0,4590454.0
16,2020-05-19,6920.0,6540.0,6850.0,6780.0,3866350.0
17,2020-05-20,6960.0,6810.0,6810.0,6820.0,1838326.0
18,2020-05-21,6880.0,6680.0,6840.0,6690.0,1693498.0
19,2020-05-22,6720.0,6360.0,6560.0,6500.0,2750481.0
20,2020-05-25,6860.0,6640.0,6680.0,6850.0,2765388.0
21,2020-05-26,6990.0,6730.0,6950.0,6800.0,2028515.0
22,2020-05-27,6900.0,6720.0,6880.0,6760.0,1575271.0
23,2020-05-28,6950.0,6540.0,6790.0,6820.0,2979618.0
24,2020-05-29,7100.0,6680.0,6870.0,6750.0,4212472.0
25,2020-06-01,6750.0,6610.0,6740.0,6650.0,1378297.0
26,2020-06-02,6760.0,6610.0,6690.0,6640.0,1473319.0
27,2020-06-03,6680.0,6380.0,6660.0,6410.0,1671480.0
28,2020-06-04,8020.0,6370.0,6440.0,7490.0,33055516.0
29,2020-06-05,7560.0,7030.0,7530.0,7080.0,6833054.0
30,2020-06-08,7290.0,7010.0,7140.0,7110.0,3580350.0
31,2020-06-09,7150.0,6800.0,7110.0,6810.0,2322309.0
32,2020-06-10,6980.0,6660.0,6760.0,6820.0,2658310.0
33,2020-06-11,6940.0,6670.0,6820.0,6690.0,1158873.0
34,2020-06-12,7730.0,6740.0,6740.0,6930.0,37828587.0
35,2020-06-15,7230.0,6310.0,7080.0,6310.0,5416125.0
36,2020-06-16,6780.0,6460.0,6500.0,6520.0,3053878.0
37,2020-06-17,6750.0,6360.0,6640.0,6650.0,3538759.0
38,2020-06-18,6610.0,6450.0,6560.0,6460.0,1750065.0
39,2020-06-19,6600.0,6380.0,6460.0,6380.0,1565684.0
40,2020-06-22,6570.0,6310.0,6450.0,6320.0,1403789.0
41,2020-06-23,6440.0,6060.0,6350.0,6090.0,1410914.0
42,2020-06-24,6180.0,6020.0,6090.0,6040.0,1010439.0
43,2020-06-25,6550.0,6170.0,6200.0,6220.0,4021133.0
44,2020-06-26,6260.0,6070.0,6200.0,6120.0,1103701.0
45,2020-06-29,6350.0,6080.0,6300.0,6090.0,1188544.0
46,2020-06-30,6130.0,5940.0,6040.0,6000.0,1062667.0
47,2020-07-01,6040.0,5800.0,6000.0,5820.0,1028068.0
48,2020-07-02,5920.0,5750.0,5780.0,5850.0,689080.0
49,2020-07-03,6140.0,5850.0,5890.0,6040.0,1696276.0
50,2020-07-06,6340.0,6110.0,6280.0,6140.0,1535725.0
51,2020-07-07,6330.0,6020.0,6050.0,6270.0,2345087.0
52,2020-07-08,6650.0,6310.0,6480.0,6320.0,3729272.0
53,2020-07-09,6350.0,6170.0,6310.0,6190.0,904816.0
54,2020-07-10,6420.0,6180.0,6190.0,6370.0,2119848.0
55,2020-07-13,6560.0,6270.0,6550.0,6300.0,1574208.0
56,2020-07-14,6330.0,6110.0,6290.0,6150.0,1067474.0
57,2020-07-15,6240.0,6060.0,6170.0,6090.0,1115082.0
58,2020-07-16,6140.0,6010.0,6080.0,6050.0,672816.0
59,2020-07-17,6340.0,6060.0,6060.0,6140.0,2141951.0
60,2020-07-20,6480.0,6150.0,6290.0,6430.0,3451672.0
61,2020-07-21,6640.0,6290.0,6550.0,6310.0,3062621.0
62,2020-07-22,6390.0,6200.0,6380.0,6240.0,1029468.0
63,2020-07-23,6370.0,6170.0,6260.0,6290.0,1380282.0
64,2020-07-24,6290.0,6120.0,6290.0,6140.0,1003520.0
65,2020-07-27,6210.0,6060.0,6140.0,6080.0,774205.0
66,2020-07-28,6120.0,5920.0,6100.0,5930.0,886382.0
67,2020-07-29,6000.0,5870.0,5880.0,5960.0,595276.0
