,index,High,Low,Open,Close,Volume
0,2020-05-04,2410.0,1975.0,2000.0,2360.0,16701813.0
1,2020-05-06,2825.0,2360.0,2530.0,2495.0,29668171.0
2,2020-05-07,2620.0,2350.0,2565.0,2410.0,6230733.0
3,2020-05-08,2430.0,2320.0,2380.0,2395.0,2685654.0
4,2020-05-11,2370.0,2245.0,2335.0,2290.0,1869446.0
5,2020-05-12,2790.0,2310.0,2315.0,2410.0,39983026.0
6,2020-05-13,2445.0,2300.0,2360.0,2320.0,4097674.0
7,2020-05-14,2555.0,2335.0,2415.0,2480.0,9841207.0
8,2020-05-15,2660.0,2470.0,2595.0,2605.0,8708998.0
9,2020-05-18,2995.0,2660.0,2725.0,2835.0,24232863.0
10,2020-05-19,2845.0,2490.0,2695.0,2675.0,6727389.0
11,2020-05-20,2720.0,2550.0,2705.0,2580.0,2972098.0
12,2020-05-21,2700.0,2575.0,2635.0,2610.0,2953060.0
13,2020-05-22,3390.0,2720.0,2750.0,3390.0,79210704.0
14,2020-05-25,3665.0,3315.0,3535.0,3390.0,33329633.0
15,2020-05-26,3865.0,3385.0,3475.0,3530.0,43535633.0
16,2020-05-27,4400.0,3500.0,3585.0,4150.0,97845260.0
17,2020-05-28,4375.0,3940.0,4050.0,4015.0,31074843.0
18,2020-05-29,4385.0,3870.0,4330.0,4125.0,18929834.0
19,2020-06-01,3935.0,3750.0,3875.0,3815.0,7644239.0
20,2020-06-02,4195.0,3910.0,3915.0,3915.0,18436304.0
21,2020-06-03,3790.0,3615.0,3790.0,3710.0,6757453.0
22,2020-06-04,4000.0,3285.0,3720.0,3510.0,30215959.0
23,2020-06-05,3620.0,3370.0,3470.0,3430.0,5584359.0
24,2020-06-08,3685.0,3415.0,3450.0,3525.0,8557794.0
25,2020-06-09,3535.0,3400.0,3500.0,3465.0,2607975.0
26,2020-06-10,3580.0,3355.0,3465.0,3410.0,2986902.0
27,2020-06-11,3515.0,3360.0,3375.0,3510.0,3931136.0
28,2020-06-12,3450.0,3225.0,3305.0,3405.0,3153159.0
29,2020-06-15,3325.0,2990.0,3290.0,3030.0,3253651.0
30,2020-06-16,3305.0,3050.0,3050.0,3145.0,3051772.0
31,2020-06-17,3615.0,3065.0,3065.0,3330.0,18602951.0
32,2020-06-18,3690.0,3240.0,3360.0,3505.0,27546265.0
33,2020-06-19,3710.0,3395.0,3500.0,3470.0,12745688.0
34,2020-06-22,3520.0,3375.0,3415.0,3440.0,2858129.0
