,index,High,Low,Open,Close,Volume
0,2020-05-08,6160.0,5660.0,6160.0,5670.0,714076.0
1,2020-05-11,5560.0,5190.0,5560.0,5270.0,649246.0
2,2020-05-12,5270.0,4835.0,5270.0,4960.0,682679.0
3,2020-05-13,5600.0,4830.0,4845.0,5190.0,2097214.0
4,2020-05-14,5180.0,5000.0,5170.0,5030.0,203992.0
5,2020-05-15,5140.0,4930.0,5040.0,5080.0,192508.0
6,2020-05-18,5140.0,5000.0,5090.0,5060.0,123980.0
7,2020-05-19,5270.0,5050.0,5090.0,5150.0,311752.0
8,2020-05-20,5330.0,5180.0,5210.0,5270.0,234468.0
9,2020-05-21,5790.0,5310.0,5340.0,5730.0,726301.0
10,2020-05-22,5840.0,5540.0,5830.0,5660.0,419299.0
11,2020-05-25,5830.0,5630.0,5760.0,5830.0,277104.0
12,2020-05-26,6100.0,5850.0,5870.0,5890.0,434584.0
13,2020-05-27,6040.0,5700.0,5840.0,5990.0,297820.0
14,2020-05-28,6150.0,5700.0,6100.0,5960.0,379266.0
15,2020-05-29,6010.0,5800.0,6000.0,5930.0,193235.0
16,2020-06-01,6030.0,5760.0,5830.0,5960.0,449451.0
17,2020-06-02,6360.0,5980.0,6090.0,6360.0,452408.0
18,2020-06-03,7640.0,6550.0,6560.0,6950.0,4218332.0
19,2020-06-04,7160.0,6660.0,7070.0,6880.0,457287.0
20,2020-06-05,7010.0,6640.0,6880.0,6950.0,305601.0
21,2020-06-08,7040.0,6810.0,6980.0,6880.0,231005.0
22,2020-06-09,7160.0,6860.0,7020.0,7160.0,401933.0
23,2020-06-10,7340.0,7010.0,7230.0,7140.0,335712.0
24,2020-06-11,7180.0,7000.0,7100.0,7140.0,266135.0
25,2020-06-12,7080.0,6680.0,6710.0,7000.0,331879.0
26,2020-06-15,7100.0,6490.0,6990.0,6630.0,511731.0
27,2020-06-16,6920.0,6560.0,6770.0,6660.0,496958.0
28,2020-06-17,6820.0,6600.0,6660.0,6730.0,254887.0
29,2020-06-18,6760.0,6610.0,6760.0,6660.0,148030.0
30,2020-06-19,6700.0,6510.0,6700.0,6600.0,151768.0
31,2020-06-22,6840.0,6560.0,6580.0,6720.0,160411.0
32,2020-06-23,6910.0,6600.0,6800.0,6720.0,170648.0
33,2020-06-24,6810.0,6660.0,6810.0,6700.0,100362.0
34,2020-06-25,6680.0,6420.0,6560.0,6450.0,143811.0
35,2020-06-26,6770.0,6350.0,6500.0,6750.0,210170.0
36,2020-06-29,6790.0,6520.0,6690.0,6530.0,126424.0
37,2020-06-30,6650.0,6240.0,6520.0,6370.0,178319.0
38,2020-07-01,6550.0,6020.0,6400.0,6030.0,266310.0
39,2020-07-02,6200.0,5950.0,6070.0,6050.0,186767.0
40,2020-07-03,6240.0,6070.0,6130.0,6100.0,100624.0
41,2020-07-06,6160.0,5970.0,6120.0,6110.0,109598.0
42,2020-07-07,6190.0,6030.0,6120.0,6030.0,83842.0
43,2020-07-08,6090.0,5800.0,6050.0,5930.0,142862.0
44,2020-07-09,6050.0,5890.0,5940.0,6030.0,114585.0
45,2020-07-10,6030.0,5680.0,6030.0,5830.0,209886.0
46,2020-07-13,5850.0,5490.0,5830.0,5640.0,212309.0
47,2020-07-14,5780.0,5520.0,5710.0,5740.0,167993.0
48,2020-07-15,5950.0,5760.0,5760.0,5890.0,124866.0
49,2020-07-16,6040.0,5850.0,5880.0,5890.0,134845.0
50,2020-07-17,6060.0,5820.0,5940.0,5910.0,87711.0
51,2020-07-20,5880.0,5730.0,5870.0,5820.0,96305.0
52,2020-07-21,6220.0,5750.0,5820.0,6150.0,281607.0
53,2020-07-22,6160.0,6030.0,6130.0,6090.0,120130.0
54,2020-07-23,6110.0,5880.0,6090.0,5970.0,121486.0
55,2020-07-24,5940.0,5760.0,5900.0,5870.0,157671.0
56,2020-07-27,5980.0,5780.0,5870.0,5850.0,96017.0
57,2020-07-28,5910.0,5780.0,5840.0,5800.0,95715.0
58,2020-07-29,5830.0,5700.0,5800.0,5820.0,96030.0
59,2020-07-30,5860.0,5710.0,5780.0,5720.0,82915.0
60,2020-07-31,5830.0,5700.0,5830.0,5700.0,73142.0
61,2020-08-03,6800.0,5800.0,5820.0,6120.0,4908358.0
