,index,High,Low,Open,Close,Volume
0,2020-04-22,4565.0,3920.0,4000.0,4200.0,10676645.0
1,2020-04-23,4700.0,4080.0,4310.0,4140.0,6138951.0
2,2020-04-24,4155.0,3925.0,4100.0,4000.0,877493.0
3,2020-04-27,4855.0,4160.0,4160.0,4615.0,7892721.0
4,2020-04-28,4975.0,4515.0,4740.0,4765.0,2928079.0
5,2020-04-29,5260.0,4675.0,4815.0,4770.0,4088098.0
6,2020-05-04,5170.0,4805.0,4840.0,5000.0,1845162.0
7,2020-05-06,5240.0,5040.0,5180.0,5130.0,1015805.0
8,2020-05-07,6150.0,4275.0,5250.0,4445.0,11127601.0
9,2020-05-08,4930.0,4330.0,4490.0,4705.0,8990193.0
10,2020-05-11,5640.0,4800.0,4800.0,5140.0,10141510.0
11,2020-05-12,5370.0,4935.0,5180.0,5150.0,2346108.0
12,2020-05-13,5410.0,5020.0,5150.0,5200.0,2252420.0
13,2020-05-14,5590.0,5230.0,5520.0,5300.0,3006553.0
14,2020-05-15,6140.0,5460.0,5590.0,5560.0,11254106.0
15,2020-05-18,5900.0,5430.0,5740.0,5500.0,2172473.0
16,2020-05-19,5430.0,4820.0,5350.0,5280.0,2675489.0
17,2020-05-20,5380.0,5090.0,5300.0,5200.0,1226400.0
18,2020-05-21,5240.0,5020.0,5230.0,5040.0,842540.0
19,2020-05-22,5120.0,4900.0,5040.0,4955.0,694528.0
20,2020-05-25,5050.0,4860.0,4960.0,5040.0,576418.0
21,2020-05-26,5090.0,4840.0,5080.0,4925.0,726797.0
22,2020-05-27,4915.0,4625.0,4850.0,4665.0,1082730.0
23,2020-05-28,4690.0,4205.0,4680.0,4495.0,1060795.0
24,2020-05-29,4595.0,4300.0,4410.0,4410.0,629287.0
25,2020-06-01,4530.0,4360.0,4360.0,4505.0,467193.0
26,2020-06-02,4605.0,4380.0,4545.0,4420.0,473417.0
27,2020-06-03,4440.0,4140.0,4425.0,4165.0,742771.0
28,2020-06-04,4225.0,4005.0,4165.0,4170.0,582074.0
29,2020-06-05,4550.0,4255.0,4490.0,4280.0,2071808.0
30,2020-06-08,4350.0,4150.0,4315.0,4200.0,340350.0
31,2020-06-09,4265.0,4110.0,4200.0,4145.0,380533.0
32,2020-06-10,4420.0,4120.0,4140.0,4395.0,793285.0
33,2020-06-11,4525.0,4250.0,4395.0,4300.0,625057.0
34,2020-06-12,4210.0,4000.0,4000.0,4100.0,481900.0
35,2020-06-15,4220.0,3900.0,4100.0,3900.0,467228.0
36,2020-06-16,4150.0,3935.0,3950.0,4050.0,464305.0
37,2020-06-17,4035.0,3875.0,4015.0,3925.0,413405.0
38,2020-06-18,3880.0,3695.0,3810.0,3725.0,768050.0
39,2020-06-19,3860.0,3650.0,3725.0,3850.0,442568.0
40,2020-06-22,4090.0,3860.0,3860.0,4000.0,913445.0
41,2020-06-23,4065.0,3860.0,4065.0,3910.0,310512.0
42,2020-06-24,4185.0,3905.0,3910.0,4115.0,872382.0
43,2020-06-25,5070.0,3915.0,4115.0,4215.0,11356717.0
44,2020-06-26,4345.0,4000.0,4345.0,4005.0,1344710.0
45,2020-06-29,4095.0,3895.0,3950.0,4075.0,500633.0
46,2020-06-30,4105.0,3960.0,4025.0,3985.0,501455.0
47,2020-07-01,4015.0,3860.0,3985.0,3870.0,348561.0
48,2020-07-02,4030.0,3870.0,3870.0,3925.0,315664.0
49,2020-07-03,4020.0,3900.0,3915.0,4020.0,266267.0
50,2020-07-06,4160.0,3985.0,4105.0,4035.0,464544.0
51,2020-07-07,4050.0,3950.0,3985.0,4000.0,228863.0
52,2020-07-08,4150.0,3965.0,3995.0,4150.0,463716.0
53,2020-07-09,4345.0,4130.0,4200.0,4280.0,1189737.0
54,2020-07-10,4330.0,4160.0,4330.0,4215.0,540938.0
55,2020-07-13,4320.0,4235.0,4280.0,4250.0,432088.0
56,2020-07-14,4715.0,4165.0,4360.0,4260.0,5459298.0
57,2020-07-15,4300.0,4060.0,4300.0,4115.0,661175.0
58,2020-07-16,4230.0,4065.0,4135.0,4080.0,549947.0
59,2020-07-17,4145.0,4045.0,4100.0,4085.0,234156.0
60,2020-07-20,4125.0,3990.0,4125.0,4000.0,357009.0
61,2020-07-21,4045.0,3940.0,4030.0,3960.0,356924.0
62,2020-07-22,3980.0,3870.0,3980.0,3880.0,301373.0
63,2020-07-23,3995.0,3860.0,3870.0,3930.0,316901.0
64,2020-07-24,3945.0,3840.0,3910.0,3855.0,259269.0
65,2020-07-27,3930.0,3840.0,3850.0,3865.0,157289.0
66,2020-07-28,3900.0,3840.0,3885.0,3855.0,193057.0
67,2020-07-29,3900.0,3800.0,3820.0,3855.0,193770.0
68,2020-07-30,3920.0,3800.0,3855.0,3820.0,190433.0
69,2020-07-31,3845.0,3780.0,3820.0,3785.0,167253.0
70,2020-08-03,3840.0,3750.0,3770.0,3780.0,306414.0
71,2020-08-04,3925.0,3770.0,3770.0,3850.0,428687.0
72,2020-08-05,3885.0,3790.0,3875.0,3795.0,210871.0
73,2020-08-06,3835.0,3720.0,3820.0,3785.0,238706.0
74,2020-08-07,3815.0,3700.0,3815.0,3710.0,209908.0
75,2020-08-10,3760.0,3630.0,3710.0,3635.0,252389.0
76,2020-08-11,3700.0,3595.0,3635.0,3600.0,293397.0
77,2020-08-12,3675.0,3500.0,3610.0,3505.0,271248.0
78,2020-08-13,3560.0,3495.0,3500.0,3555.0,128096.0
79,2020-08-14,3555.0,3470.0,3545.0,3495.0,152293.0
80,2020-08-18,3705.0,3330.0,3670.0,3395.0,569815.0
81,2020-08-19,3560.0,3295.0,3560.0,3380.0,206738.0
82,2020-08-20,3455.0,3145.0,3390.0,3355.0,425240.0
83,2020-08-21,3430.0,3270.0,3315.0,3425.0,325027.0
84,2020-08-24,3600.0,3375.0,3380.0,3425.0,305560.0
85,2020-08-25,3480.0,3395.0,3435.0,3480.0,203835.0
86,2020-08-26,3845.0,3440.0,3475.0,3750.0,1766432.0
87,2020-08-27,4080.0,3720.0,3800.0,3875.0,2739776.0
88,2020-08-28,3960.0,3665.0,3905.0,3890.0,869951.0
89,2020-08-31,3910.0,3720.0,3895.0,3730.0,415434.0
90,2020-09-01,3820.0,3650.0,3680.0,3750.0,281798.0
