,index,High,Low,Open,Close,Volume
0,2020-04-22,10750.0,10200.0,10350.0,10750.0,68780.0
1,2020-04-23,11200.0,10700.0,10800.0,10950.0,108603.0
2,2020-04-24,10950.0,10500.0,10800.0,10550.0,62598.0
3,2020-04-27,11250.0,10600.0,10650.0,11200.0,100704.0
4,2020-04-28,11400.0,10850.0,11250.0,10950.0,92569.0
5,2020-04-29,11200.0,10800.0,10950.0,10950.0,76502.0
6,2020-05-04,10900.0,10550.0,10750.0,10750.0,65308.0
7,2020-05-06,11100.0,10750.0,11000.0,10800.0,55539.0
8,2020-05-07,11200.0,10700.0,10800.0,11100.0,112695.0
9,2020-05-08,11800.0,11150.0,11150.0,11600.0,176128.0
10,2020-05-11,11900.0,11300.0,11850.0,11350.0,133619.0
11,2020-05-12,11600.0,10650.0,11600.0,10700.0,319662.0
12,2020-05-13,10700.0,10350.0,10350.0,10600.0,173914.0
13,2020-05-14,10500.0,10000.0,10400.0,10200.0,284267.0
14,2020-05-15,10700.0,10100.0,10300.0,10650.0,142580.0
15,2020-05-18,10950.0,10600.0,10700.0,10700.0,120049.0
16,2020-05-19,11200.0,10900.0,11200.0,11050.0,197470.0
17,2020-05-20,11100.0,10950.0,11100.0,11000.0,109584.0
18,2020-05-21,11500.0,10950.0,11100.0,11000.0,227315.0
19,2020-05-22,11050.0,10500.0,11000.0,10600.0,145052.0
20,2020-05-25,10800.0,10500.0,10650.0,10650.0,76316.0
21,2020-05-26,10750.0,10500.0,10650.0,10600.0,127629.0
22,2020-05-27,10800.0,10500.0,10700.0,10650.0,118367.0
23,2020-05-28,10800.0,10200.0,10750.0,10300.0,250509.0
24,2020-05-29,10350.0,10000.0,10300.0,10350.0,196387.0
25,2020-06-01,10600.0,10300.0,10400.0,10600.0,120653.0
26,2020-06-02,10700.0,10400.0,10600.0,10500.0,124121.0
27,2020-06-03,11050.0,10500.0,10600.0,10700.0,296881.0
28,2020-06-04,11600.0,10700.0,10750.0,11600.0,748083.0
29,2020-06-05,12800.0,11200.0,11350.0,12550.0,1250440.0
30,2020-06-08,13400.0,12650.0,12700.0,12800.0,788105.0
31,2020-06-09,12850.0,12150.0,12750.0,12400.0,457838.0
32,2020-06-10,12400.0,11700.0,12400.0,11850.0,366844.0
33,2020-06-11,12100.0,11300.0,11750.0,11450.0,315717.0
34,2020-06-12,11150.0,10600.0,10950.0,11100.0,444866.0
35,2020-06-15,11100.0,10400.0,11050.0,10400.0,238550.0
36,2020-06-16,11000.0,10550.0,10700.0,10950.0,238188.0
37,2020-06-17,11250.0,10650.0,10750.0,10800.0,249913.0
38,2020-06-18,11250.0,10750.0,10800.0,11000.0,178696.0
39,2020-06-19,12050.0,11050.0,11050.0,11850.0,528556.0
40,2020-06-22,12050.0,11600.0,12050.0,11600.0,203475.0
41,2020-06-23,12200.0,11400.0,11750.0,11600.0,348720.0
42,2020-06-24,12450.0,11350.0,11650.0,12100.0,554568.0
43,2020-06-25,11850.0,11350.0,11700.0,11650.0,326233.0
44,2020-06-26,11950.0,11350.0,11800.0,11450.0,320101.0
45,2020-06-29,11250.0,10950.0,11150.0,11050.0,162346.0
46,2020-06-30,11400.0,11050.0,11250.0,11050.0,189576.0
47,2020-07-01,11250.0,10900.0,11100.0,10900.0,100455.0
48,2020-07-02,11100.0,10800.0,11100.0,10900.0,120985.0
49,2020-07-03,11200.0,10850.0,10950.0,11000.0,152265.0
50,2020-07-06,11300.0,10950.0,11250.0,11100.0,209115.0
51,2020-07-07,11350.0,10900.0,11250.0,11000.0,160527.0
52,2020-07-08,11200.0,10950.0,11050.0,11050.0,105396.0
53,2020-07-09,11750.0,11150.0,11200.0,11650.0,447959.0
54,2020-07-10,11650.0,11250.0,11600.0,11350.0,211251.0
55,2020-07-13,11700.0,11350.0,11450.0,11600.0,178505.0
56,2020-07-14,11550.0,11300.0,11550.0,11300.0,130054.0
57,2020-07-15,11900.0,11400.0,11400.0,11700.0,259043.0
58,2020-07-16,11900.0,11450.0,11850.0,11550.0,128636.0
59,2020-07-17,11900.0,11600.0,11600.0,11850.0,202709.0
60,2020-07-20,11900.0,11400.0,11850.0,11900.0,219641.0
61,2020-07-21,12200.0,11800.0,11800.0,11850.0,228039.0
62,2020-07-22,11950.0,11700.0,11850.0,11750.0,104855.0
63,2020-07-23,11700.0,11300.0,11650.0,11400.0,193791.0
64,2020-07-24,11600.0,11200.0,11300.0,11300.0,113188.0
65,2020-07-27,11550.0,11250.0,11350.0,11450.0,77460.0
66,2020-07-28,12300.0,11450.0,11700.0,12250.0,374388.0
67,2020-07-29,12750.0,12100.0,12250.0,12600.0,516089.0
68,2020-07-30,15300.0,13000.0,13050.0,14100.0,3125226.0
69,2020-07-31,14900.0,14000.0,14100.0,14250.0,829009.0
70,2020-08-03,15600.0,14400.0,14400.0,15350.0,838178.0
71,2020-08-04,15100.0,14450.0,15100.0,14850.0,472395.0
72,2020-08-05,14850.0,13650.0,14800.0,14050.0,516786.0
73,2020-08-06,14300.0,13700.0,14100.0,13950.0,278957.0
74,2020-08-07,14350.0,13650.0,13850.0,14150.0,326267.0
75,2020-08-10,15150.0,14150.0,14200.0,15000.0,471546.0
76,2020-08-11,15250.0,14450.0,15000.0,15050.0,353157.0
77,2020-08-12,15550.0,14350.0,15050.0,15550.0,417611.0
78,2020-08-13,16350.0,15100.0,15650.0,15900.0,437011.0
79,2020-08-14,16500.0,15500.0,15950.0,15800.0,268780.0
80,2020-08-18,15500.0,14200.0,15400.0,14450.0,274519.0
81,2020-08-19,15100.0,13550.0,14600.0,14700.0,240287.0
82,2020-08-20,14800.0,13200.0,14750.0,13350.0,212132.0
83,2020-08-21,14100.0,13050.0,13500.0,13800.0,212789.0
84,2020-08-24,14100.0,13350.0,14100.0,13800.0,168925.0
85,2020-08-25,13950.0,13500.0,13850.0,13700.0,266790.0
86,2020-08-26,14800.0,13500.0,13700.0,14450.0,435503.0
87,2020-08-27,15600.0,14550.0,14900.0,14700.0,384563.0
88,2020-08-28,15800.0,14800.0,14900.0,15350.0,355590.0
89,2020-08-31,16050.0,15100.0,15250.0,15300.0,212845.0
90,2020-09-01,15450.0,14650.0,15450.0,15250.0,237491.0
91,2020-09-02,16050.0,15300.0,15300.0,15900.0,354608.0
92,2020-09-03,17200.0,16100.0,16200.0,16950.0,493979.0
93,2020-09-04,18250.0,16050.0,16250.0,18000.0,785590.0
94,2020-09-07,19000.0,17400.0,17900.0,18000.0,416200.0
95,2020-09-08,19800.0,18200.0,19000.0,18300.0,498017.0
96,2020-09-09,18650.0,17800.0,17850.0,18150.0,147281.0
97,2020-09-10,18500.0,17600.0,18350.0,18250.0,340336.0
98,2020-09-11,18350.0,17650.0,18050.0,18200.0,107137.0
99,2020-09-14,18450.0,17650.0,18450.0,17800.0,140374.0
100,2020-09-15,17950.0,17150.0,17900.0,17800.0,161184.0
101,2020-09-16,17800.0,16750.0,17800.0,17250.0,157481.0
102,2020-09-17,17300.0,16400.0,17100.0,16550.0,135204.0
103,2020-09-18,18200.0,16450.0,16550.0,16700.0,500255.0
104,2020-09-21,16700.0,15350.0,16700.0,15700.0,296245.0
105,2020-09-22,15750.0,14850.0,15450.0,15400.0,164638.0
106,2020-09-23,16150.0,15000.0,15700.0,16000.0,124003.0
107,2020-09-24,16450.0,15250.0,15450.0,16100.0,136843.0
108,2020-09-25,16800.0,15850.0,16250.0,16350.0,194672.0
109,2020-09-28,16650.0,16100.0,16400.0,16400.0,114739.0
110,2020-09-29,17150.0,16350.0,16700.0,17000.0,130618.0
111,2020-10-05,17250.0,16550.0,16850.0,17150.0,56929.0
112,2020-10-06,17750.0,16800.0,17200.0,16800.0,93292.0
113,2020-10-07,17200.0,16600.0,16750.0,17150.0,123653.0
114,2020-10-08,17550.0,16750.0,17500.0,16900.0,87914.0
115,2020-10-12,17200.0,16450.0,17100.0,16900.0,120759.0
116,2020-10-13,17100.0,16300.0,17100.0,16700.0,118231.0
117,2020-10-14,17450.0,16500.0,17150.0,16950.0,283324.0
118,2020-10-15,17700.0,16800.0,17100.0,17150.0,269713.0
119,2020-10-16,17150.0,15850.0,17000.0,16250.0,213910.0
120,2020-10-19,16350.0,15650.0,16350.0,15850.0,80493.0
121,2020-10-20,16550.0,15300.0,15800.0,16200.0,184189.0
122,2020-10-21,16250.0,15800.0,16150.0,16050.0,82372.0
123,2020-10-22,16600.0,15800.0,16250.0,16550.0,164596.0
124,2020-10-23,17450.0,16700.0,16800.0,16750.0,280209.0
125,2020-10-26,17100.0,16000.0,16650.0,16050.0,112624.0
126,2020-10-27,16300.0,15600.0,15800.0,16050.0,144922.0
127,2020-10-28,16750.0,15800.0,15800.0,16700.0,76895.0
128,2020-10-29,16600.0,16200.0,16250.0,16550.0,59121.0
129,2020-10-30,17000.0,15700.0,16950.0,16200.0,192881.0
130,2020-11-02,16200.0,15450.0,16150.0,15800.0,141145.0
131,2020-11-03,16800.0,15750.0,15800.0,16450.0,196192.0
132,2020-11-04,16950.0,16050.0,16850.0,16900.0,187372.0
133,2020-11-05,17050.0,16700.0,17000.0,17000.0,89707.0
134,2020-11-06,17250.0,16750.0,17100.0,16750.0,98107.0
135,2020-11-09,17400.0,16700.0,16750.0,17100.0,144587.0
136,2020-11-10,17450.0,16750.0,16900.0,17450.0,82063.0
137,2020-11-11,18900.0,17200.0,17450.0,18850.0,693310.0
