,index,High,Low,Open,Close,Volume
0,2020-09-10,62400.0,48000.0,48000.0,62400.0,561750.0
1,2020-09-11,81100.0,81100.0,81100.0,81100.0,5013124.0
2,2020-09-14,89100.0,73400.0,86500.0,73800.0,20213705.0
3,2020-09-15,71200.0,67100.0,69900.0,67500.0,8309414.0
4,2020-09-16,69500.0,65400.0,66200.0,66300.0,5054826.0
5,2020-09-17,67800.0,64600.0,67000.0,64600.0,2373993.0
6,2020-09-18,65700.0,62800.0,65400.0,63400.0,1914512.0
7,2020-09-21,63400.0,59000.0,63400.0,59500.0,2796724.0
8,2020-09-22,59400.0,55700.0,59400.0,55800.0,2177965.0
9,2020-09-23,58500.0,55700.0,56500.0,55800.0,2348911.0
10,2020-09-24,54700.0,51200.0,54100.0,51200.0,1817508.0
11,2020-09-25,52700.0,50000.0,51800.0,50200.0,1460915.0
12,2020-09-28,52300.0,50300.0,51000.0,51200.0,1175400.0
13,2020-09-29,59000.0,51600.0,51900.0,56200.0,5973601.0
14,2020-10-05,55700.0,53500.0,55400.0,54200.0,1084588.0
15,2020-10-06,56300.0,54100.0,54500.0,54300.0,1108491.0
16,2020-10-07,55000.0,53600.0,54200.0,54500.0,486108.0
17,2020-10-08,54000.0,53000.0,53100.0,53000.0,1074274.0
18,2020-10-12,49800.0,45300.0,45350.0,49100.0,6330061.0
19,2020-10-13,50700.0,48550.0,49650.0,49150.0,1845095.0
20,2020-10-14,49550.0,48000.0,49300.0,48250.0,1094816.0
21,2020-10-15,48150.0,45750.0,48000.0,46300.0,1556423.0
22,2020-10-16,46900.0,45500.0,46100.0,45850.0,899954.0
23,2020-10-19,46350.0,45000.0,45850.0,45050.0,678392.0
24,2020-10-20,45400.0,44000.0,44500.0,44750.0,807867.0
25,2020-10-21,47300.0,44950.0,45000.0,46650.0,1359297.0
26,2020-10-22,47300.0,46300.0,47000.0,46500.0,657267.0
27,2020-10-23,46750.0,45450.0,46400.0,45500.0,512008.0
28,2020-10-26,45350.0,44050.0,45200.0,44100.0,575048.0
29,2020-10-27,44600.0,42950.0,43700.0,44050.0,422999.0
30,2020-10-28,44950.0,43950.0,43950.0,44650.0,404797.0
31,2020-10-29,44850.0,43850.0,44000.0,44600.0,355682.0
32,2020-10-30,46600.0,44550.0,44950.0,45150.0,715076.0
33,2020-11-02,46350.0,45500.0,45500.0,46250.0,463952.0
34,2020-11-03,47300.0,46450.0,46800.0,46950.0,640166.0
35,2020-11-04,47700.0,46450.0,47550.0,47150.0,649660.0
36,2020-11-05,49700.0,47300.0,47650.0,48950.0,1682668.0
37,2020-11-06,50700.0,49000.0,49700.0,49150.0,1126551.0
38,2020-11-09,50400.0,49500.0,50100.0,50000.0,761532.0
39,2020-11-10,49400.0,48550.0,49200.0,48900.0,687440.0
40,2020-11-11,48850.0,47650.0,48850.0,48350.0,556261.0
