,index,High,Low,Open,Close,Volume
0,2020-05-04,24350.0,23650.0,24350.0,23650.0,1113868.0
1,2020-05-06,23900.0,23250.0,23900.0,23500.0,878191.0
2,2020-05-07,23800.0,23150.0,23500.0,23500.0,711522.0
3,2020-05-08,24050.0,23700.0,23800.0,23750.0,855591.0
4,2020-05-11,24000.0,23400.0,23850.0,23450.0,773828.0
5,2020-05-12,24000.0,23350.0,23400.0,23650.0,951528.0
6,2020-05-13,23900.0,23500.0,23500.0,23800.0,735163.0
7,2020-05-14,24200.0,23850.0,23900.0,24100.0,1324446.0
8,2020-05-15,24950.0,24150.0,24200.0,24700.0,1646547.0
9,2020-05-18,25650.0,24700.0,25150.0,24700.0,1785909.0
10,2020-05-19,25300.0,24900.0,24900.0,25000.0,959530.0
11,2020-05-20,25400.0,24850.0,24850.0,24900.0,876092.0
12,2020-05-21,25100.0,24350.0,25100.0,24350.0,1332951.0
13,2020-05-22,24800.0,24150.0,24550.0,24150.0,930349.0
14,2020-05-25,24700.0,24200.0,24400.0,24350.0,1257054.0
15,2020-05-26,24950.0,24400.0,24400.0,24950.0,948364.0
16,2020-05-27,24900.0,24400.0,24850.0,24500.0,1105447.0
17,2020-05-28,24700.0,24300.0,24500.0,24350.0,1033331.0
18,2020-05-29,24650.0,24250.0,24400.0,24350.0,807637.0
19,2020-06-01,25000.0,24350.0,24350.0,24850.0,1334751.0
20,2020-06-02,25400.0,24950.0,25000.0,25150.0,1068904.0
21,2020-06-03,25700.0,25250.0,25250.0,25550.0,1824860.0
22,2020-06-04,25750.0,25150.0,25600.0,25250.0,1203685.0
23,2020-06-05,25550.0,25100.0,25300.0,25300.0,1170522.0
24,2020-06-08,25550.0,25100.0,25450.0,25100.0,979075.0
25,2020-06-09,25400.0,24900.0,25100.0,24950.0,871401.0
26,2020-06-10,25050.0,24750.0,25000.0,24800.0,1077763.0
27,2020-06-11,24950.0,23700.0,24800.0,24350.0,2413752.0
28,2020-06-12,23900.0,23150.0,23200.0,23800.0,1695675.0
29,2020-06-15,23600.0,22700.0,23500.0,22700.0,1178814.0
30,2020-06-16,23650.0,23050.0,23100.0,23650.0,851098.0
31,2020-06-17,23650.0,23200.0,23350.0,23400.0,765911.0
32,2020-06-18,23600.0,23150.0,23200.0,23500.0,615051.0
33,2020-06-19,23750.0,23350.0,23650.0,23650.0,627452.0
34,2020-06-22,24500.0,23400.0,23550.0,24050.0,1002755.0
35,2020-06-23,24350.0,23550.0,24150.0,24000.0,790001.0
36,2020-06-24,24050.0,23800.0,23950.0,23800.0,625959.0
37,2020-06-25,23800.0,23300.0,23500.0,23300.0,720134.0
38,2020-06-26,24050.0,23200.0,23400.0,23700.0,1028894.0
39,2020-06-29,23600.0,23150.0,23350.0,23250.0,696872.0
40,2020-06-30,23650.0,23300.0,23350.0,23550.0,582065.0
41,2020-07-01,23950.0,23350.0,23550.0,23450.0,1078009.0
42,2020-07-02,24200.0,23850.0,23950.0,24100.0,1361766.0
43,2020-07-03,24500.0,24150.0,24250.0,24200.0,957977.0
44,2020-07-06,24450.0,24000.0,24350.0,24250.0,779570.0
45,2020-07-07,24600.0,23900.0,24350.0,23950.0,1091231.0
46,2020-07-08,24050.0,23600.0,23850.0,23600.0,1093324.0
47,2020-07-09,24100.0,23650.0,23700.0,23750.0,958115.0
48,2020-07-10,24150.0,23550.0,23750.0,23900.0,1096378.0
49,2020-07-13,24400.0,23950.0,24200.0,24350.0,879676.0
50,2020-07-14,24750.0,24200.0,24250.0,24600.0,1166434.0
51,2020-07-15,24950.0,24550.0,24750.0,24700.0,1061696.0
52,2020-07-16,24700.0,24400.0,24700.0,24450.0,908630.0
53,2020-07-17,24700.0,24250.0,24500.0,24300.0,576148.0
54,2020-07-20,24500.0,24050.0,24350.0,24150.0,758518.0
55,2020-07-21,24350.0,24100.0,24200.0,24100.0,833055.0
56,2020-07-22,24250.0,24050.0,24150.0,24100.0,735029.0
57,2020-07-23,24150.0,23800.0,24150.0,23850.0,983940.0
58,2020-07-24,23850.0,23600.0,23700.0,23650.0,708548.0
59,2020-07-27,23750.0,23550.0,23550.0,23600.0,663557.0
60,2020-07-28,23950.0,23650.0,23800.0,23700.0,894018.0
61,2020-07-29,24000.0,23500.0,23600.0,23850.0,820778.0
62,2020-07-30,24000.0,23750.0,23900.0,23800.0,797423.0
63,2020-07-31,24000.0,23700.0,23800.0,23800.0,707167.0
64,2020-08-03,24000.0,23550.0,24000.0,23600.0,766693.0
65,2020-08-04,23900.0,23500.0,23600.0,23750.0,773606.0
66,2020-08-05,23950.0,23600.0,23750.0,23700.0,989341.0
67,2020-08-06,23850.0,23600.0,23700.0,23800.0,1264301.0
68,2020-08-07,23950.0,23650.0,23800.0,23850.0,1180577.0
