,index,High,Low,Open,Close,Volume
0,2020-04-22,1685.0,1390.0,1390.0,1605.0,61413200.0
1,2020-04-23,1620.0,1525.0,1575.0,1620.0,8793120.0
2,2020-04-24,1595.0,1490.0,1575.0,1510.0,4488034.0
3,2020-04-27,1535.0,1495.0,1515.0,1530.0,2170910.0
4,2020-04-28,1530.0,1475.0,1530.0,1490.0,1943870.0
5,2020-04-29,1495.0,1455.0,1490.0,1465.0,1186925.0
6,2020-05-04,1470.0,1400.0,1405.0,1460.0,1481248.0
7,2020-05-06,1490.0,1450.0,1450.0,1465.0,1155647.0
8,2020-05-07,1490.0,1445.0,1475.0,1470.0,836093.0
9,2020-05-08,1680.0,1475.0,1490.0,1560.0,28119647.0
10,2020-05-11,1645.0,1560.0,1615.0,1585.0,9369305.0
11,2020-05-12,1600.0,1490.0,1570.0,1550.0,3363349.0
12,2020-05-13,1540.0,1505.0,1540.0,1535.0,1190107.0
13,2020-05-14,1570.0,1515.0,1550.0,1515.0,1779287.0
14,2020-05-15,1530.0,1480.0,1525.0,1520.0,1461780.0
15,2020-05-18,1575.0,1490.0,1520.0,1550.0,1750006.0
16,2020-05-19,1600.0,1545.0,1580.0,1575.0,2100273.0
17,2020-05-20,1615.0,1575.0,1575.0,1600.0,2278500.0
18,2020-05-21,1720.0,1585.0,1625.0,1635.0,10483463.0
19,2020-05-22,1645.0,1540.0,1640.0,1560.0,3463409.0
20,2020-05-25,1580.0,1530.0,1560.0,1560.0,1146290.0
21,2020-05-26,1595.0,1545.0,1560.0,1565.0,1492564.0
22,2020-05-27,1585.0,1530.0,1575.0,1540.0,1483392.0
23,2020-05-28,1620.0,1500.0,1550.0,1590.0,4317446.0
24,2020-05-29,1610.0,1540.0,1590.0,1540.0,1478747.0
25,2020-06-01,1560.0,1530.0,1550.0,1540.0,923487.0
26,2020-06-02,1590.0,1545.0,1555.0,1585.0,1396457.0
27,2020-06-03,1735.0,1585.0,1590.0,1635.0,21597302.0
28,2020-06-04,1645.0,1580.0,1640.0,1590.0,2846227.0
29,2020-06-05,1665.0,1595.0,1615.0,1665.0,4645326.0
30,2020-06-08,1725.0,1645.0,1670.0,1645.0,4623836.0
31,2020-06-09,1655.0,1585.0,1645.0,1615.0,2174073.0
32,2020-06-10,1635.0,1590.0,1635.0,1605.0,1315013.0
33,2020-06-11,1605.0,1550.0,1605.0,1555.0,1634285.0
34,2020-06-12,1505.0,1430.0,1450.0,1505.0,1721927.0
35,2020-06-15,1500.0,1310.0,1480.0,1315.0,2585395.0
36,2020-06-16,1405.0,1340.0,1360.0,1390.0,1412978.0
37,2020-06-17,1425.0,1340.0,1370.0,1395.0,1006140.0
38,2020-06-18,1430.0,1380.0,1400.0,1420.0,899897.0
39,2020-06-19,1445.0,1400.0,1445.0,1420.0,670873.0
40,2020-06-22,1425.0,1385.0,1420.0,1415.0,706704.0
41,2020-06-23,1425.0,1375.0,1415.0,1390.0,904731.0
42,2020-06-24,1450.0,1385.0,1390.0,1415.0,870204.0
43,2020-06-25,1410.0,1370.0,1395.0,1380.0,765364.0
44,2020-06-26,1400.0,1360.0,1385.0,1360.0,568095.0
45,2020-06-29,1765.0,1390.0,1390.0,1765.0,91348254.0
46,2020-06-30,1900.0,1690.0,1885.0,1735.0,54144459.0
47,2020-07-01,1760.0,1680.0,1730.0,1730.0,10556445.0
48,2020-07-02,1700.0,1640.0,1700.0,1695.0,7960466.0
49,2020-07-03,1820.0,1625.0,1720.0,1665.0,21821222.0
50,2020-07-06,1675.0,1635.0,1670.0,1660.0,2584194.0
51,2020-07-07,1965.0,1675.0,1675.0,1775.0,74290283.0
52,2020-07-08,1815.0,1730.0,1775.0,1755.0,6737756.0
53,2020-07-09,1890.0,1745.0,1745.0,1845.0,23127631.0
54,2020-07-10,1840.0,1765.0,1815.0,1775.0,4012871.0
55,2020-07-13,1880.0,1790.0,1795.0,1810.0,7904366.0
56,2020-07-14,1790.0,1695.0,1790.0,1715.0,4294229.0
57,2020-07-15,1745.0,1700.0,1740.0,1720.0,2259399.0
58,2020-07-16,1770.0,1715.0,1770.0,1745.0,1987881.0
59,2020-07-17,1745.0,1715.0,1745.0,1740.0,1072308.0
60,2020-07-20,1750.0,1705.0,1750.0,1715.0,1438699.0
61,2020-07-21,1770.0,1655.0,1725.0,1735.0,2318288.0
62,2020-07-22,1750.0,1700.0,1750.0,1705.0,1112947.0
63,2020-07-23,1720.0,1650.0,1710.0,1655.0,1910124.0
64,2020-07-24,1685.0,1600.0,1640.0,1625.0,1629824.0
65,2020-07-27,1700.0,1610.0,1625.0,1670.0,1470292.0
66,2020-07-28,1705.0,1640.0,1700.0,1650.0,998940.0
67,2020-07-29,1660.0,1620.0,1630.0,1655.0,618359.0
68,2020-07-30,1675.0,1640.0,1670.0,1670.0,575088.0
69,2020-07-31,1675.0,1645.0,1670.0,1665.0,520810.0
70,2020-08-03,1670.0,1620.0,1670.0,1655.0,978909.0
71,2020-08-04,1685.0,1630.0,1645.0,1660.0,1195205.0
72,2020-08-05,1760.0,1665.0,1680.0,1710.0,4901294.0
73,2020-08-06,1735.0,1680.0,1735.0,1715.0,1163537.0
74,2020-08-07,1710.0,1655.0,1710.0,1655.0,1197011.0
75,2020-08-10,1715.0,1615.0,1655.0,1680.0,1873603.0
76,2020-08-11,1705.0,1655.0,1700.0,1660.0,898393.0
77,2020-08-12,1675.0,1610.0,1650.0,1645.0,1162448.0
78,2020-08-13,1700.0,1645.0,1655.0,1665.0,1455903.0
79,2020-08-14,1865.0,1685.0,1690.0,1745.0,32940835.0
80,2020-08-18,1835.0,1645.0,1750.0,1680.0,8080730.0
81,2020-08-19,1845.0,1690.0,1695.0,1820.0,9129044.0
82,2020-08-20,1880.0,1705.0,1815.0,1745.0,8247004.0
83,2020-08-21,1870.0,1760.0,1760.0,1810.0,11913259.0
84,2020-08-24,1775.0,1595.0,1770.0,1680.0,4631861.0
85,2020-08-25,1730.0,1510.0,1530.0,1665.0,7044611.0
