,index,High,Low,Open,Close,Volume
0,2020-05-08,7560.0,7140.0,7200.0,7540.0,43713.0
1,2020-05-11,7760.0,7520.0,7540.0,7560.0,19970.0
2,2020-05-12,7750.0,7400.0,7560.0,7630.0,29111.0
3,2020-05-13,7690.0,7520.0,7630.0,7630.0,20451.0
4,2020-05-14,7660.0,7460.0,7620.0,7490.0,15669.0
5,2020-05-15,7600.0,7390.0,7490.0,7490.0,13935.0
6,2020-05-18,7570.0,7300.0,7560.0,7380.0,26377.0
7,2020-05-19,7480.0,7150.0,7410.0,7350.0,24830.0
8,2020-05-20,7380.0,7150.0,7280.0,7280.0,15577.0
9,2020-05-21,7390.0,7160.0,7350.0,7380.0,23618.0
10,2020-05-22,7420.0,7160.0,7400.0,7300.0,17993.0
11,2020-05-25,7400.0,7250.0,7400.0,7310.0,10453.0
12,2020-05-26,7460.0,7250.0,7460.0,7350.0,21698.0
13,2020-05-27,7440.0,7300.0,7300.0,7370.0,17757.0
14,2020-05-28,7400.0,7110.0,7330.0,7360.0,23924.0
15,2020-05-29,7400.0,7200.0,7210.0,7250.0,11734.0
16,2020-06-01,7570.0,7110.0,7210.0,7430.0,70137.0
17,2020-06-02,7510.0,7280.0,7510.0,7450.0,22256.0
18,2020-06-03,7490.0,7320.0,7490.0,7370.0,14323.0
19,2020-06-04,7460.0,7240.0,7460.0,7370.0,20199.0
20,2020-06-05,7390.0,7290.0,7350.0,7380.0,14097.0
21,2020-06-08,7490.0,7340.0,7400.0,7480.0,26081.0
22,2020-06-09,7840.0,7370.0,7480.0,7680.0,64489.0
23,2020-06-10,7960.0,7520.0,7680.0,7940.0,70211.0
24,2020-06-11,8400.0,7910.0,8000.0,7940.0,102442.0
25,2020-06-12,7740.0,7390.0,7650.0,7700.0,35408.0
26,2020-06-15,7990.0,7250.0,7700.0,7300.0,62275.0
27,2020-06-16,7620.0,7350.0,7350.0,7550.0,55114.0
28,2020-06-17,7840.0,7530.0,7540.0,7790.0,45459.0
29,2020-06-18,7920.0,7720.0,7870.0,7840.0,38933.0
30,2020-06-19,7950.0,7590.0,7830.0,7750.0,24573.0
31,2020-06-22,7850.0,7540.0,7790.0,7680.0,25675.0
32,2020-06-23,7790.0,7500.0,7650.0,7670.0,28737.0
33,2020-06-24,8020.0,7550.0,7670.0,7980.0,85431.0
34,2020-06-25,8190.0,7800.0,7970.0,7830.0,64167.0
35,2020-06-26,8150.0,7860.0,7890.0,8100.0,66022.0
36,2020-06-29,8290.0,7750.0,8000.0,7800.0,50971.0
37,2020-06-30,7890.0,7500.0,7850.0,7730.0,39992.0
38,2020-07-01,7750.0,7450.0,7750.0,7560.0,25846.0
39,2020-07-02,7650.0,7510.0,7560.0,7600.0,9435.0
40,2020-07-03,7740.0,7500.0,7650.0,7730.0,13793.0
41,2020-07-06,7790.0,7390.0,7700.0,7490.0,56900.0
42,2020-07-07,7480.0,7250.0,7430.0,7270.0,29678.0
43,2020-07-08,7360.0,7190.0,7290.0,7260.0,19360.0
44,2020-07-09,7450.0,7130.0,7260.0,7310.0,12610.0
45,2020-07-10,7330.0,7190.0,7330.0,7270.0,15723.0
46,2020-07-13,7440.0,7290.0,7380.0,7300.0,29443.0
47,2020-07-14,8000.0,7140.0,7310.0,7600.0,240966.0
48,2020-07-15,8260.0,7660.0,7980.0,7920.0,187363.0
49,2020-07-16,8350.0,7780.0,7920.0,8300.0,137884.0
50,2020-07-17,8600.0,7800.0,8380.0,8220.0,135694.0
51,2020-07-20,8290.0,8080.0,8290.0,8150.0,38023.0
52,2020-07-21,8280.0,8130.0,8160.0,8190.0,50905.0
53,2020-07-22,8220.0,7910.0,8190.0,8100.0,53302.0
54,2020-07-23,8290.0,7970.0,8030.0,8250.0,55298.0
55,2020-07-24,8540.0,8040.0,8120.0,8480.0,79875.0
56,2020-07-27,8900.0,8290.0,8500.0,8420.0,187187.0
57,2020-07-28,8470.0,8110.0,8470.0,8120.0,59900.0
58,2020-07-29,8210.0,7950.0,8070.0,8150.0,25807.0
59,2020-07-30,8540.0,8090.0,8200.0,8370.0,93498.0
60,2020-07-31,8450.0,8120.0,8380.0,8220.0,37360.0
61,2020-08-03,8220.0,7970.0,8220.0,8150.0,32156.0
62,2020-08-04,8410.0,8100.0,8100.0,8400.0,50855.0
63,2020-08-05,9870.0,8450.0,8490.0,9350.0,729505.0
64,2020-08-06,9380.0,8880.0,9350.0,8950.0,151516.0
65,2020-08-07,9750.0,8890.0,8890.0,9620.0,226571.0
66,2020-08-10,11400.0,9700.0,9700.0,11000.0,549169.0
67,2020-08-11,11700.0,10450.0,10900.0,11450.0,300763.0
68,2020-08-12,12300.0,10550.0,12300.0,10950.0,342909.0
69,2020-08-13,11400.0,10550.0,11300.0,10850.0,165993.0
70,2020-08-14,10800.0,10000.0,10650.0,10300.0,132838.0
71,2020-08-18,10200.0,9570.0,10100.0,9720.0,104910.0
72,2020-08-19,10550.0,9510.0,9700.0,10400.0,116484.0
73,2020-08-20,10950.0,9990.0,10600.0,10050.0,117848.0
74,2020-08-21,10500.0,9960.0,10100.0,10200.0,46862.0
75,2020-08-24,10700.0,9950.0,10500.0,10400.0,220210.0
76,2020-08-25,11100.0,10350.0,10400.0,10800.0,146853.0
77,2020-08-26,11050.0,10250.0,10850.0,10450.0,111194.0
78,2020-08-27,11400.0,10450.0,10500.0,10700.0,364747.0
79,2020-08-28,11200.0,10250.0,10700.0,10500.0,302945.0
80,2020-08-31,11000.0,9970.0,11000.0,9970.0,172965.0
81,2020-09-01,10200.0,9130.0,9970.0,9490.0,275527.0
82,2020-09-02,9590.0,9200.0,9500.0,9580.0,69589.0
83,2020-09-03,10100.0,9800.0,9870.0,10050.0,151521.0
84,2020-09-04,9970.0,9340.0,9600.0,9400.0,157188.0
85,2020-09-07,9620.0,9140.0,9530.0,9550.0,73605.0
86,2020-09-08,10200.0,9560.0,9600.0,9940.0,150689.0
87,2020-09-09,9990.0,9710.0,9750.0,9910.0,53619.0
88,2020-09-10,10150.0,9750.0,9860.0,10050.0,101149.0
89,2020-09-11,10200.0,9850.0,10050.0,10150.0,87110.0
90,2020-09-14,11650.0,10300.0,10400.0,11650.0,476243.0
91,2020-09-15,11850.0,10850.0,11800.0,10950.0,288475.0
92,2020-09-16,11050.0,10100.0,10800.0,10350.0,227560.0
93,2020-09-17,10500.0,9900.0,10400.0,10100.0,105091.0
94,2020-09-18,10200.0,9800.0,10100.0,9950.0,56326.0
95,2020-09-21,9950.0,9400.0,9950.0,9520.0,63120.0
96,2020-09-22,9500.0,9090.0,9340.0,9280.0,61848.0
97,2020-09-23,9480.0,8900.0,9290.0,9030.0,103033.0
98,2020-09-24,9020.0,8550.0,8850.0,8700.0,46381.0
99,2020-09-25,8900.0,8520.0,8860.0,8830.0,20452.0
100,2020-09-28,9040.0,8600.0,8990.0,8780.0,65716.0
101,2020-09-29,8850.0,8660.0,8850.0,8700.0,18458.0
